SKU,Quantity,Reason
roddypiper001-S,1,AMZ-PG-APP-TOO-SMALL
220785-DumbDumber-ORNG-M,1,CR-UNWANTED_ITEM
junk187-L,1,AMZ-PG-APP-TOO-SMALL
lotrbilbowig,1,CR-DEFECTIVE
roddypiper001-S,1,AMZ-PG-APP-TOO-SMALL
CocaColaLeggings-CCXX1-S,1,AMZ-PG-APP-TOO-SMALL
hulk001N-XL,1,AMZ-PG-APP-TOO-LARGE
dresshat001HAT1-Green,1,DID_NOT_LIKE_COLOR
OktoberfestSocks-100515,1,CR-UNWANTED_ITEM
220744-AhoySailorCostume-MENS-PLUS,1,AMZ-PG-APP-TOO-SMALL
customslides1-10-black,1,AMZ-PG-APP-TOO-SMALL
adventure002jr-S,1,AMZ-PG-APP-TOO-SMALL
adventure001-S,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DEFECTIVE
CowgirlShirt-204051-M,1,CR-UNWANTED_ITEM
woodycostumeshirt-S-M,1,CR-UNWANTED_ITEM
woodycostumeshirt-S-M,1,CR-UNWANTED_ITEM
CowgirlShirt-204051-M,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
220785-DumbDumber-ORNG-L,1,CR-UNWANTED_ITEM
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-LARGE
wonderwomanwallet,1,CR-MISSED_ESTIMATED_DELIVERY
wonderwomanset001-L,1,DID_NOT_LIKE_FABRIC
customshirtWhite-L,1,AMZ-PG-APP-TOO-SMALL
Custom-RS3401-Pink-6_12m,1,CR-SWITCHEROO
powerrangers018red-0/6,1,CR-UNWANTED_ITEM
rockyrobe1,4,AMZ-PG-APP-TOO-SMALL
100576BLACK-S,2,CR-UNWANTED_ITEM
100576BROWN-L,1,AMZ-PG-APP-TOO-LARGE
A9249-MarvelDress-XXL,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DEFECTIVE
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-LARGE
HP047-SlytherinUnionSuit-L,1,AMZ-PG-BAD-DESC
ricflare001-black,1,CR-QUALITY_UNACCEPTABLE
arrestedbobblehead002,1,CR-DEFECTIVE
mash003-M,1,CR-MISSED_ESTIMATED_DELIVERY
WuTangUnionSuit-LN0011-L,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DEFECTIVE
customshirtWhite-L,1,AMZ-PG-APP-TOO-SMALL
5000-MMJuniorsBrownHoodie-S,1,CR-DEFECTIVE
cobrakaiheadband,1,CR-MISSED_ESTIMATED_DELIVERY
bigl012-XL,1,AMZ-PG-APP-TOO-SMALL
CowgirlShirt-204051-S,1,DID_NOT_LIKE_FABRIC
