SKU,Quantity,Reason
CarpetWetTodd-RedBlack-3XL,1,AMZ-PG-APP-TOO-SMALL
DontKnowMargoUCS-GreenRed-4XL,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-M,1,CR-QUALITY_UNACCEPTABLE
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-M-L,1,AMZ-PG-APP-TOO-LARGE
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE
ApolloShorts-M,1,CR-QUALITY_UNACCEPTABLE
HumpingReindeer-AnimatedPlush,1,CR-DEFECTIVE
WB0943-HQAllOverRedPants-XL,1,AMZ-PG-APP-TOO-SMALL
SWSRHCF-TatooineSweater-L,1,AMZ-PG-APP-TOO-SMALL
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-LARGE
CustomUCSweater-WhiteBlack-XL,1,CR-SWITCHEROO
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL
deadpool005-XL,1,AMZ-PG-APP-TOO-LARGE
WR0434-PinkBunnyLoungePants-L,1,AMZ-PG-APP-TOO-SMALL
bigl032-M,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-XL,1,CR-UNWANTED_ITEM
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-SMALL
deadpool005-XL,1,AMZ-PG-APP-STYLE
wrestlingboots-MB,1,CR-DEFECTIVE
BQSM3409TV-BobsBurgersTina-XL,1,AMZ-PG-APP-TOO-SMALL
SquidGameMask-Triagle,2,CR-UNWANTED_ITEM
ninja-sweater-blueface-2X,1,CR-SWITCHEROO
CVGriswoldLoungePants-WR0319-52-M,1,AMZ-PG-APP-TOO-SMALL
M&M-Red-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL
monstersinc009-M,1,CR-SWITCHEROO
MUMA05VMN-MaruchanNoodle-L,1,AMZ-PG-APP-TOO-LARGE
sharkcostume-M-L,1,AMZ-PG-BAD-DESC
MUMA05VMN-MaruchanNoodle-L,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-XS,1,AMZ-PG-APP-TOO-LARGE
GrabSnack-Red-M,1,AMZ-PG-APP-TOO-LARGE
MUMA05VMN-MaruchanNoodle-L,1,AMZ-PG-APP-TOO-LARGE
RickMortyPicklePants-RM0242-52-M,1,AMZ-PG-APP-TOO-SMALL
arrested014black-S,1,CR-MISSED_ESTIMATED_DELIVERY
WB1658-WB1659-WonderWomanCostumeSet1-XL,1,AMZ-PG-BAD-DESC
SP0008-SouthParkYouGuysPants-L,1,AMZ-PG-APP-TOO-SMALL
christmasvaca011-L,1,CR-MISSED_ESTIMATED_DELIVERY
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-SMALL
100581-CousinEddieShoe-11,1,AMZ-PG-APP-STYLE
WuTangUnionSuit-LN0011-L,1,AMZ-PG-APP-TOO-SMALL
UglySweater-FrostyBlowman-XXL,1,AMZ-PG-APP-TOO-SMALL
starskyhutch001-L,1,AMZ-PG-APP-TOO-LARGE
mm003JRSred-L,1,DID_NOT_LIKE_FABRIC
102025-InfOrnament-18-Silver,1,AMZ-PG-BAD-DESC
102026-InfOrnament-25-Gold,1,AMZ-PG-BAD-DESC
102025-InfOrnament-18-Gold,1,AMZ-PG-BAD-DESC
102026-InfOrnament-25-Silver,1,AMZ-PG-BAD-DESC
OESM2439TV-DunderMifflinSweater-L,1,CR-UNWANTED_ITEM
caddyshackhat001,1,CR-UNWANTED_ITEM
bigl032-XL,1,AMZ-PG-APP-TOO-LARGE
Inflatable001-HumpReindeer4feet1,1,CR-DEFECTIVE
suicidesquad010-L,1,AMZ-PG-APP-TOO-LARGE
UglySweater-SantaSnowMan-XL,1,CR-UNWANTED_ITEM
DH394MAU1-DeadpoolSweater-M,1,CR-UNWANTED_ITEM
TheSandlotUCS-Red-M,1,CR-UNWANTED_ITEM
TheSandlotUCS-Red-L,1,CR-UNWANTED_ITEM
Santa-AnimatedPlushy,1,AMZ-PG-BAD-DESC
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-SMALL
PawPatrolChaseBlueHoodie-3T,1,CR-UNWANTED_ITEM
UglySweater-GhostFace-XL,1,AMZ-PG-APP-TOO-SMALL
GrinchUnionSuit-Adult-M,1,AMZ-PG-APP-TOO-LARGE
B3SM2050TV-BobRossUCS-S,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
ElfLoungePants-WR0322-52-S,1,CR-QUALITY_UNACCEPTABLE
220752-RockfordPeachesMENS-2XL,1,CR-UNWANTED_ITEM
WuTangLoungePants-LN0010-52-XL,1,AMZ-PG-APP-TOO-SMALL
drseuss031-XXL,1,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-M,1,DID_NOT_LIKE_FABRIC
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL
WR0434-PinkBunnyLoungePants-L,1,AMZ-PG-APP-TOO-SMALL
SP0008-SouthParkYouGuysPants-L,1,AMZ-PG-APP-TOO-SMALL
scarfacecostume001-XXL,1,AMZ-PG-APP-TOO-SMALL
waynesworldcostumeset002-M,1,CR-UNWANTED_ITEM
RickMortyPajamaSet-JCITV-XL,1,AMZ-PG-APP-TOO-SMALL
hoosiers003-L,1,AMZ-PG-APP-TOO-SMALL
revengenerds005-XXL,1,CR-UNWANTED_ITEM
DS197-UglySweater-3XL,1,AMZ-PG-APP-TOO-LARGE
DSSCCXYBNP-HoHoHoPants-3XL,1,AMZ-PG-APP-TOO-SMALL
DH394MAU1-DeadpoolSweater-XL,1,AMZ-PG-APP-STYLE
CVGriswoldLoungePants-WR0319-52-XL,1,CR-MISSED_ESTIMATED_DELIVERY
10068387-BuzzPajamaSet-M,1,CR-UNWANTED_ITEM
RMSM3878-RickMortyHoliday-L,1,CR-MISSED_ESTIMATED_DELIVERY
flinttropicscostume,1,AMZ-PG-APP-TOO-SMALL
StrangerThingsSocks,1,AMZ-PG-BAD-DESC
DS197-UglySweater-XL,1,AMZ-PG-APP-TOO-LARGE
NSPH3266-NarutoPajamas,1,CR-UNWANTED_ITEM
PawPatrolChaseBlueHoodie-4T,1,AMZ-PG-APP-TOO-SMALL
DSSCCXYBNP-HoHoHoPants-XL,4,CR-UNWANTED_ITEM
powerrangers017pink-S,1,CR-MISSED_ESTIMATED_DELIVERY
pacman004-M,1,AMZ-PG-BAD-DESC
HootersCostumeSet&Socks-XL,1,CR-UNAUTHORIZED_PURCHASE
CocaColaLeggings-CCXX1-XL,1,DID_NOT_LIKE_FABRIC
starwars088-L,1,AMZ-PG-APP-TOO-SMALL
WuTangLoungePants-LN0010-52-S,1,AMZ-PG-APP-TOO-SMALL
tmntonesieRED-24M,1,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-L,1,DID_NOT_LIKE_FABRIC
ArthurChristmasUCS-3XL,1,AMZ-PG-APP-TOO-LARGE
3DUnicornUCS-XL,1,CR-UNWANTED_ITEM
6665610-YDR-BlackGrey,1,CR-QUALITY_UNACCEPTABLE
PineappleExpressPants-M,1,CR-UNWANTED_ITEM
CVSM2258-MooseHead-XL,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-SMALL
stepbros001-XXL,1,AMZ-PG-APP-TOO-LARGE
RickMortyPajamaSet-JCITV-L,1,AMZ-PG-APP-TOO-SMALL
stripeddashmens-S,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-S,1,AMZ-PG-APP-TOO-LARGE
uglysweater55-S,1,CR-UNWANTED_ITEM
uglysweater44-4XL,1,CR-UNWANTED_ITEM
JH18-8FTFESTI,1,CR-DEFECTIVE
220831-BlueyOnesie-5/6,1,CR-SWITCHEROO
SP0008-SouthParkYouGuysPants-M,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-L,1,CR-UNWANTED_ITEM
DS197-UglySweater-XL,1,CR-FOUND_BETTER_PRICE
DSSCCXYBNP-HoHoHoPants-1XLT,1,AMZ-PG-APP-TOO-LARGE
DH394MAU1-DeadpoolSweater-XL,1,AMZ-PG-APP-TOO-SMALL
Inflatable001-ShittersFull-1,1,CR-DEFECTIVE
bigl012-L,1,AMZ-PG-APP-TOO-SMALL
RickMortyPicklePants-RM0242-52-M,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-LARGE
6665611-yellowstoneTruckerHat,1,AMZ-PG-APP-STYLE
CVGriswoldLoungePants-WR0319-52-M,1,AMZ-PG-APP-TOO-SMALL
nightmare005-2X,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-SMALL
220836-ClarkSanta-XXL,1,AMZ-PG-BAD-DESC
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-XXL,1,CR-UNWANTED_ITEM
powerrangerssweatshirtBlue-L,1,AMZ-PG-APP-TOO-LARGE
WuTangLoungePants-LN0010-52-M,1,AMZ-PG-APP-TOO-SMALL
102025-InfOrnament-18-Green,1,CR-UNWANTED_ITEM
102026-InfOrnament-25-White,1,CR-UNWANTED_ITEM
102026-InfOrnament-25-Red,1,CR-UNWANTED_ITEM
102025-InfOrnament-18-Gold,1,CR-UNWANTED_ITEM
CY034-ChristmasStoryUnionSuit-XL,1,AMZ-PG-APP-TOO-LARGE
204070-Detective&BlueShirt-M,1,CR-MISSED_ESTIMATED_DELIVERY
CY034-ChristmasStoryUnionSuit-XL,1,AMZ-PG-APP-TOO-LARGE
kennywig,1,AMZ-PG-APP-STYLE
bigl012-L,1,AMZ-PG-APP-TOO-SMALL
WakandaForeverUCS-L,1,CR-SWITCHEROO
GBSpenglerLSTee-M,1,CR-QUALITY_UNACCEPTABLE
GBVenkmansLSTee-XL,1,CR-QUALITY_UNACCEPTABLE
SnowmenCandyCanes-20405-XS,1,AMZ-PG-APP-TOO-LARGE
custom-30x40fleece-heart-plum,1,CR-SWITCHEROO
204292-DeerRingSweater-M,1,AMZ-PG-APP-TOO-LARGE
Inflatable001-CousinEddie-1,1,CR-DEFECTIVE
6665614-yellowstobeBaseHat,1,AMZ-PG-BAD-DESC
dodgeball003-XXL,1,CR-DEFECTIVE
220834-GriswoldTie,1,AMZ-PG-APP-STYLE
drwho057-M,1,AMZ-PG-APP-TOO-SMALL
220757-AverageJoesWomensSet-S,1,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-S,1,AMZ-PG-APP-TOO-LARGE
WR0434-PinkBunnyLoungePants-M,1,AMZ-PG-APP-TOO-SMALL
customslides1-9-black,1,AMZ-PG-APP-TOO-SMALL
customslides1-5-blue,1,AMZ-PG-APP-TOO-SMALL
customslides1-10-black,1,AMZ-PG-APP-TOO-SMALL
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-LARGE
uglysweaterBALLS-S,1,CR-MISSED_ESTIMATED_DELIVERY
M&M-Green-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL
ArthurChristmasUCS-S,1,AMZ-PG-APP-TOO-SMALL
M&M-Green-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL
102025-InfOrnament-18-White,1,AMZ-PG-BAD-DESC
uglysweater44-L,1,AMZ-PG-APP-TOO-LARGE
animal001f-S,1,CR-UNWANTED_ITEM
CVGriswoldLoungePants-WR0319-52-XL,1,DID_NOT_LIKE_COLOR
Custom-ST307-Red-XL,1,CR-UNWANTED_ITEM
CY034-ChristmasStoryUnionSuit-XL,1,CR-QUALITY_UNACCEPTABLE
chubsuitcostume002-black,1,CR-DEFECTIVE
EMVC1019TV-CousinEddieHat,1,CR-UNWANTED_ITEM
SuperBadCostume-L,1,CR-UNWANTED_ITEM
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-LARGE
CocaColaLeggings-CCXX1-M,1,CR-DEFECTIVE
DH394MAU1-DeadpoolSweater-M,1,CR-UNWANTED_ITEM
CousinEddieWhiteRobe-220703,1,AMZ-PG-APP-TOO-LARGE
bigl012-L,1,AMZ-PG-APP-TOO-LARGE
CurlAfroWig-1231,1,CR-MISSED_ESTIMATED_DELIVERY
germanshirtBLUE-XXXL,1,AMZ-PG-APP-TOO-SMALL
WuTangLoungePants-LN0010-52-XL,1,AMZ-PG-APP-TOO-SMALL
100584-SheriffBoots-8/9,1,AMZ-PG-APP-TOO-SMALL
teenwolfcostume1-XL,1,AMZ-PG-APP-STYLE
metallica003-XXL,1,DID_NOT_LIKE_FABRIC
WuTangLoungePants-LN0010-52-M,1,AMZ-PG-APP-TOO-SMALL
CVSM2258-MooseHead-XL,1,AMZ-PG-APP-TOO-LARGE
NutsSweaterUCS1-L,1,CR-SWITCHEROO
CVSM2258-MooseHead-M,1,CR-MISSED_ESTIMATED_DELIVERY
ChestSweaterUCS1-S,1,CR-MISSED_ESTIMATED_DELIVERY
suitpajamas001black-L,1,AMZ-PG-APP-TOO-SMALL
KRSM2011-KrampusSweater-XL,1,CR-MISSED_ESTIMATED_DELIVERY
hoosiers003-L,1,AMZ-PG-APP-STYLE
SecretStuffWaterBottle,2,DID_NOT_LIKE_FABRIC
uglysweater44-XL,1,AMZ-PG-APP-TOO-LARGE
220831-BlueyOnesie-5/6,1,CR-DEFECTIVE
hulkpants001-M,1,AMZ-PG-APP-TOO-SMALL
CousinEddieSweater-M,1,CR-UNWANTED_ITEM
snlbearsLONGsweater-L,1,AMZ-PG-APP-TOO-SMALL
wilfreddeluxe001,1,CR-QUALITY_UNACCEPTABLE
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-SMALL
6665610-YDR-BlackGrey,1,DID_NOT_LIKE_COLOR
MUMA05VMN-MaruchanNoodle-M,1,AMZ-PG-APP-TOO-LARGE
sein023-XL,1,AMZ-PG-APP-TOO-SMALL
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
CousinEddieWhiteRobe-220703,1,AMZ-PG-APP-TOO-LARGE
RedUglyPajamas-20406-M,3,CR-MISSED_ESTIMATED_DELIVERY
uglysweater76-S,1,AMZ-PG-APP-TOO-LARGE
3DTrumpHairUglySweater-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
RM0296-RickMortyLoungePants-XL,1,CR-SWITCHEROO
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-STYLE
CVGriswoldLoungePants-WR0319-52-M,1,AMZ-PG-APP-STYLE
S2258-UglySweater-XXL,1,AMZ-PG-APP-TOO-LARGE
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-SMALL
CowgirlShirt-204051-XXL,1,AMZ-PG-APP-STYLE
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-SMALL
102026-InfOrnament-25-Silver,1,CR-DEFECTIVE
CCXX23IMNP-CokeBearSnow-L,1,AMZ-PG-APP-TOO-LARGE
karateheadband1,1,AMZ-PG-BAD-DESC
HumpingReindeer-AnimatedPlush,1,CR-UNWANTED_ITEM
starskyhutch001-XL,1,CR-UNWANTED_ITEM
B3SM2058TV-BOBROSS-XL,1,CR-UNWANTED_ITEM
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-SMALL
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-LARGE
DH394MAU1-DeadpoolSweater-3XL,1,AMZ-PG-APP-TOO-SMALL
UFSM2083TV-PULPFICTION-L,1,AMZ-PG-APP-TOO-LARGE
XmasStoryRalphieUCS-CSSM2356-4XL,1,CR-DEFECTIVE
