SKU,Quantity,Reason
220631-youth,1,CR-QUALITY_UNACCEPTABLE
dresshat001HAT2-Purple,1,CR-DAMAGED_BY_CARRIER
CustomFaceMaks2,1,CR-UNWANTED_ITEM
drseuss015-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL
mm001Nblu-M,1,DID_NOT_LIKE_COLOR
100576BROWN-M,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-M,1,CR-DEFECTIVE
usa002-M,1,AMZ-PG-APP-STYLE
CustomFaceMaks2,1,CR-UNWANTED_ITEM
rockyrobesetDRAGO,1,CR-UNWANTED_ITEM
mm001Nblu-XL,1,CR-MISSED_ESTIMATED_DELIVERY
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL
drseuss027thing1-S,1,CR-UNWANTED_ITEM
drseuss027thing2-S,1,CR-UNWANTED_ITEM
Thing1-6-Union Suit-KIDS-3/4,1,CR-DEFECTIVE
dresshat001HAT1-Orange,1,AMZ-PG-APP-TOO-SMALL
tmnt056Mike-XS,1,AMZ-PG-APP-TOO-LARGE
tmnt056Raph-XS,1,AMZ-PG-APP-TOO-LARGE
Custom-RS3401-Black-18_24m,2,CR-MISSED_ESTIMATED_DELIVERY
Custom-RS3401-Red-18_24m,2,CR-MISSED_ESTIMATED_DELIVERY
Custom-RS3401-Red-12_18m,1,CR-MISSED_ESTIMATED_DELIVERY
220078-SharkChubSuitYellow-Adult,1,CR-UNWANTED_ITEM
greatest002-XXL,1,CR-SWITCHEROO
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL
powerrangersocks001-Yellow,1,CR-DAMAGED_BY_CARRIER
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
sharkcostume-XXL,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-ORDERED_WRONG_ITEM
rockyshorts-M,1,AMZ-PG-BAD-DESC
rockyshorts-S,1,AMZ-PG-BAD-DESC
2N75-ElmoHoodieEyeball-M,1,CR-UNWANTED_ITEM
beautybeast001-S-M,1,CR-MISSED_ESTIMATED_DELIVERY
CocaColaLeggings-CCXX1-M,1,DID_NOT_LIKE_FABRIC
powerrangersset001yellow-S,1,DID_NOT_LIKE_COLOR
CustomFaceMaks2,1,CR-DEFECTIVE
Custom-T200-WhiteBlack-L,1,AMZ-PG-APP-STYLE
Custom-T200-WhiteBlack-M,1,AMZ-PG-APP-STYLE
100576BLACK-S,1,AMZ-PG-APP-STYLE
CustomFaceMaks2,1,CR-DEFECTIVE
karateheadband,1,CR-QUALITY_UNACCEPTABLE
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL
dresshat001HAT2-Purple,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMask,1,AMZ-PG-BAD-DESC
suicidesquad003-XS,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DEFECTIVE
CustomFaceMaks2,1,CR-DEFECTIVE
tmnt046jLeo-S,1,AMZ-PG-BAD-DESC
wwe060green-L,1,CR-MISSED_ESTIMATED_DELIVERY
furiespants-S,1,AMZ-PG-APP-TOO-LARGE
furiespants-M,1,AMZ-PG-APP-TOO-SMALL
hulk001ym,1,CR-MISSED_ESTIMATED_DELIVERY
YellowBandanaYellowGlasses,1,CR-MISSED_ESTIMATED_DELIVERY
waldocostumeDELUXE-XL,1,CR-UNWANTED_ITEM
stepbros001-XL,1,AMZ-PG-APP-TOO-LARGE
220696-WOMENS-MimeCostumeSet-L,2,CR-UNWANTED_ITEM
CustomFaceMaks2,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,CR-DEFECTIVE
chubsuitcostume002-green,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
4U9ML-ERNIE-CostumeShirt-L,1,AMZ-PG-APP-TOO-LARGE
4U8ML-BERT-CostumeShirt-S,1,AMZ-PG-APP-TOO-LARGE
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL
444369-CybermanMaskAd,1,CR-DAMAGED_BY_FC
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL
biglpants001-XL,1,AMZ-PG-APP-TOO-SMALL
SecretStuffWaterBottle,1,AMZ-PG-APP-STYLE
drseuss015-M,1,CR-MISSED_ESTIMATED_DELIVERY
Thing1-6-Union Suit-KIDS-5/6,1,CR-UNWANTED_ITEM
soahat005-L/XL,1,AMZ-PG-APP-TOO-LARGE
drseuss015-XXL,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,CR-DEFECTIVE
CustomFaceMaks2,1,CR-DEFECTIVE
wwe070-YL,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMask,2,CR-DEFECTIVE
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
CustomFaceMaks2,1,CR-DEFECTIVE
sharkcostume-teen,1,CR-DEFECTIVE
drseuss015-L,1,AMZ-PG-BAD-DESC
flocostume001,1,CR-UNWANTED_ITEM
drseuss027thing1-L,1,CR-SWITCHEROO
leagueoftheirowncostume-Small/Medium,1,CR-UNWANTED_ITEM
tmnt045Mike-L,1,AMZ-PG-BAD-DESC
Custom-ST500-Royal-L,1,CR-MISSED_ESTIMATED_DELIVERY
rockyshorts-L,1,CR-DEFECTIVE
waldocostumeDELUXE-L,1,AMZ-PG-BAD-DESC
drseuss015-XXL,1,AMZ-PG-APP-TOO-SMALL
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL
drseuss021thing1-M,1,AMZ-PG-APP-TOO-LARGE
HJCO2021-HootersCostumeSet-M,1,AMZ-PG-APP-TOO-LARGE
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
220617-teen,2,CR-DEFECTIVE
uglysweater44-XXXL,1,AMZ-PG-APP-TOO-LARGE
hulk003redN-XL,1,CR-MISSED_ESTIMATED_DELIVERY
bigl012-XL,1,AMZ-PG-APP-TOO-LARGE
DELUXE-ADULT-green_plants,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,CR-DEFECTIVE
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
drseuss022-L,1,CR-UNWANTED_ITEM
chubsuitcostume002Teen-Green,1,AMZ-PG-APP-TOO-SMALL
RM0314-TShirtPantsPajamaSet-XL,1,CR-SWITCHEROO
CustomFaceMaks2,1,CR-DEFECTIVE
Thing1-6-Union Suit-KIDS-7/8,1,CR-FOUND_BETTER_PRICE
waldocostumeDELUXE-BOYS-XL,2,CR-UNWANTED_ITEM
220697-MENS-MimeCostumeSet-M,1,CR-UNWANTED_ITEM
drseuss027thing1-L,1,CR-UNWANTED_ITEM
wrestlingboots-MB,1,CR-UNWANTED_ITEM
soahat005-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY
suicidesquad003-M,1,CR-MISSED_ESTIMATED_DELIVERY
suicidesquad004-XL,1,CR-MISSED_ESTIMATED_DELIVERY
1147-BeastWigandBeard,1,CR-QUALITY_UNACCEPTABLE
Custom-LST307-Womens-Black-S,1,CR-MISSED_ESTIMATED_DELIVERY
Custom-LST307-Womens-Black-M,1,CR-MISSED_ESTIMATED_DELIVERY
Custom-LST307-Womens-Black-M,1,CR-MISSED_ESTIMATED_DELIVERY
super068-XXL,1,AMZ-PG-APP-TOO-LARGE
tmnt016m-M,1,DID_NOT_LIKE_FABRIC
tmnt016d-L,1,DID_NOT_LIKE_FABRIC
curiousgeorgecostumeset-S,1,AMZ-PG-APP-TOO-LARGE
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
btlc004-M,1,CR-MISSED_ESTIMATED_DELIVERY
CustomFaceMaks2,1,CR-ORDERED_WRONG_ITEM
hulkhogancostumesetYELsunYELban-S,1,CR-QUALITY_UNACCEPTABLE
suitpajamas001purple-XL,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DEFECTIVE
CY034-ChristmasStoryUnionSuit-L,1,CR-UNWANTED_ITEM
furiespants-M,1,CR-QUALITY_UNACCEPTABLE
suicidesquad004-XL,1,CR-UNWANTED_ITEM
