SKU,Quantity,Reason
WoodyLongSleeveAdultShirt-XXL,1,CR-ORDERED_WRONG_ITEM
rockyrobesetDRAGO,1,CR-MISSED_ESTIMATED_DELIVERY
CustomFaceMaks2,1,CR-DEFECTIVE
CustomFaceMaks2,1,CR-DEFECTIVE
CustomFaceMaks2,1,CR-DEFECTIVE
runningshorts001RED-L-XL,1,DID_NOT_LIKE_FABRIC
runningshorts001RED-S-M,1,DID_NOT_LIKE_FABRIC
biglpants001-XXL,1,CR-UNWANTED_ITEM
Custom-ST307-Black-S,1,AMZ-PG-APP-STYLE
220745-AhoySailorCostume-WOMENS-L/XL,1,AMZ-PG-BAD-DESC
100980-TheQueenMusicBeltArmband,1,AMZ-PG-BAD-DESC
bigl032-L,2,CR-NOT_COMPATIBLE
RedAfroWig-1216,1,AMZ-PG-APP-TOO-LARGE
ShittersFullUnionSuit-WR0317-2XL,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
deadpool010-XL,1,AMZ-PG-APP-TOO-SMALL
ShittersFullUnionSuit-WR0317-XL,1,CR-SWITCHEROO
ShittersFullUnionSuit-WR0317-L,5,AMZ-PG-APP-TOO-SMALL
100576BROWN-XL,1,AMZ-PG-APP-STYLE
uglywutang-XL,1,AMZ-PG-APP-STYLE
RO-ARWZ-IIN8,1,CR-MISSED_ESTIMATED_DELIVERY
JLSN243-TuneSquadSHORTS-XS,1,AMZ-PG-APP-STYLE
DarkWigBeard-1234,1,CR-DEFECTIVE
RickMortyPicklePants-RM0242-52-L,1,CR-DEFECTIVE
caddy010-2X,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-MW,1,CR-UNWANTED_ITEM
wrestlingboots-LW,1,CR-UNWANTED_ITEM
KRSM2011-KrampusSweater-S,1,AMZ-PG-APP-TOO-SMALL
ApolloShorts-L,1,AMZ-PG-APP-TOO-LARGE
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL
2N75-ElmoHoodieEyeball-3X,1,CR-UNWANTED_ITEM
coketankdress-L,1,AMZ-PG-APP-TOO-SMALL
coketankdress-XL,1,AMZ-PG-APP-TOO-SMALL
coketankdress-2X,1,AMZ-PG-APP-TOO-SMALL
revengenerds005-M,1,AMZ-PG-APP-TOO-SMALL
RickMortyPicklePants-RM0242-52-M,1,AMZ-PG-APP-TOO-LARGE
TheSandlotUCS-Navy-L,1,CR-DEFECTIVE
RedBandanaYellowGlasses,1,CR-UNWANTED_ITEM
hulk005N-6M,1,CR-UNWANTED_ITEM
hulk003-S,1,CR-UNWANTED_ITEM
hulkpantsN001-XXL,1,CR-UNWANTED_ITEM
gooniesslothmask,1,AMZ-PG-BAD-DESC
WB1658-WB1659-WonderWomanCostumeSet1-M,1,AMZ-PG-BAD-DESC
PKPR042-PowerRangersSocks-Green,1,CR-MISSED_ESTIMATED_DELIVERY
biglpants001-3XL,1,DID_NOT_LIKE_FABRIC
Custom-ST500-Royal-S,1,DID_NOT_LIKE_COLOR
TigerKing-HatWigSet,1,CR-QUALITY_UNACCEPTABLE
220791-TigerKingShirt-BLUE-S,1,AMZ-PG-APP-TOO-SMALL
1243-CatLadyWig,1,CR-DEFECTIVE
220791-TigerKingShirt-BLUE-M,1,AMZ-PG-APP-TOO-SMALL
PE0006-SnoopyLoungePants-2XL,1,AMZ-PG-BAD-DESC
CustomFaceMaks2,1,CR-DEFECTIVE
starwars129-4XL,1,CR-QUALITY_UNACCEPTABLE
HumpingReindeer-AnimatedPlush,1,CR-DEFECTIVE
Santa-AnimatedPlushy,1,CR-DEFECTIVE
NaughtyHappySnowman-AnimatedPlushy,1,CR-DEFECTIVE
204073-PresidentPedroShirt-L,1,CR-SWITCHEROO
ApolloShorts-L,1,AMZ-PG-APP-TOO-LARGE
office023-M,1,CR-QUALITY_UNACCEPTABLE
TreeRexLightUpUCS-XL,1,AMZ-PG-BAD-DESC
CY034-ChristmasStoryUnionSuit-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-LARGE
GrinchUnionSuit-Adult-M,1,AMZ-PG-APP-TOO-LARGE
stepbros010-M,1,CR-NOT_COMPATIBLE
bobsburgersbeanie001,1,CR-SWITCHEROO
SnowflakesReindeer-20401-XXL,1,AMZ-PG-APP-TOO-LARGE
RickMortyPicklePants-RM0242-52-L,1,CR-UNWANTED_ITEM
hangoverglasses,1,CR-MISSED_ESTIMATED_DELIVERY
CY034-ChristmasStoryUnionSuit-S,1,CR-MISSED_ESTIMATED_DELIVERY
biglpants001-XXL,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-XL,1,CR-SWITCHEROO
CustomFaceMask,1,CR-MISSING_PARTS
wwe112-L,2,AMZ-PG-APP-TOO-SMALL
KRSM2011-KrampusSweater-XL,1,AMZ-PG-APP-TOO-SMALL
dresshat001HAT1-Green,1,CR-MISSED_ESTIMATED_DELIVERY
starwars169-L,1,DID_NOT_LIKE_FABRIC
greenlantern028-XXL,1,CR-SWITCHEROO
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
DedSecHat001-Navy,1,AMZ-PG-BAD-DESC
officedundie,1,CR-DAMAGED_BY_FC
soahat005-S/M,1,CR-DEFECTIVE
3DTRexUCS-XXL,1,AMZ-PG-APP-TOO-SMALL
10068387-BuzzPajamaSet-XL,1,CR-ORDERED_WRONG_ITEM
office010ls-XL,1,AMZ-PG-APP-TOO-LARGE
startrek033-L,1,AMZ-PG-APP-TOO-SMALL
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-SMALL
GrinchUnionSuit-Adult-L,1,AMZ-PG-APP-TOO-SMALL
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-SMALL
GrinchUnionSuit-Adult-XL,1,AMZ-PG-APP-TOO-SMALL
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL
aerosmith002-S,1,AMZ-PG-APP-TOO-LARGE
RedNavyHumpingReindeer-20404-XL,1,AMZ-PG-APP-TOO-LARGE
BEA027-BeatlesChristmasSweater-S,1,AMZ-PG-APP-TOO-LARGE
WR0436-ScoobyDooPants-S,1,AMZ-PG-APP-TOO-SMALL
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL
