SKU,Quantity,Reason
220080-SharkChubSuitPink-Adult,1,CR-UNWANTED_ITEM
apollorobe,1,AMZ-PG-BAD-DESC
jerseyshoreglasses,1,CR-MISSED_ESTIMATED_DELIVERY
220793-MasterRoshiShirt-L,1,AMZ-PG-APP-TOO-SMALL
starwars088-M,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
ElizaZombieWig-1219,1,AMZ-PG-APP-TOO-SMALL
100585-MoonBoots-8/9,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-XXLdeluxe,2,AMZ-PG-APP-TOO-SMALL
QueenDragonWig-1220,1,CR-DEFECTIVE
GhostbustersDress-25KHA-M,1,AMZ-PG-APP-TOO-LARGE
machomanbandana-Purple,1,CR-UNWANTED_ITEM
TSM20002TV-WoodyBelt-M,1,AMZ-PG-APP-TOO-SMALL
oscarsnapwrsitband,1,AMZ-PG-APP-STYLE
christmasvaca002-S,1,CR-SWITCHEROO
fightclub004-SM,1,CR-MISSED_ESTIMATED_DELIVERY
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
amywinehousewig,1,AMZ-PG-BAD-DESC
204089-ModernLife-M,1,AMZ-PG-APP-TOO-LARGE
bigbang064-XL,1,AMZ-PG-APP-TOO-SMALL
revengenerds005-XXL,1,AMZ-PG-APP-TOO-LARGE
A9031-32-MinnieBodysuitSkirtSet-M,1,AMZ-PG-APP-TOO-SMALL
suicidesquad004-L,1,AMZ-PG-APP-TOO-LARGE
ledzeppelin002-S,1,CR-DEFECTIVE
WB1658-WB1659-WonderWomanCostumeSet-L,1,AMZ-PG-BAD-DESC
batman094-L,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-teen,1,CR-DEFECTIVE
alanbabycarriercostumeDELUXE-L,1,CR-UNWANTED_ITEM
tmntonesieBLUE-12M,1,CR-MISSED_ESTIMATED_DELIVERY
dodgeball003-M,1,CR-DEFECTIVE
204070-Detective&BlueShirt-XL,1,CR-UNWANTED_ITEM
customshirtLightGrey-3XL,1,AMZ-PG-APP-STYLE
customshirtLightGrey-S,2,AMZ-PG-APP-STYLE
customshirtLightGrey-M,1,AMZ-PG-APP-STYLE
tmntbackpack,4,AMZ-PG-APP-TOO-SMALL
hulkhogancostumesetREDsunREDban-L,1,AMZ-PG-APP-STYLE
wrestlingboots-MY,1,AMZ-PG-APP-TOO-LARGE
hulkpantsN001-L,1,AMZ-PG-APP-TOO-SMALL
220635-std1,1,CR-DAMAGED_BY_FC
wrestlingboots-XLRed,1,AMZ-PG-APP-TOO-SMALL
fearloathingglasses,1,CR-DEFECTIVE
WuTangLoungePants-LN0010-52-M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
rockyshorts-L,1,AMZ-PG-APP-TOO-LARGE
TweetySleepSet-WB1785-69-XL,1,CR-UNAUTHORIZED_PURCHASE
apollorobe,1,CR-UNWANTED_ITEM
powerrangersleggings001YELLOW-XL,1,DID_NOT_LIKE_COLOR
paul001-M,1,AMZ-PG-APP-TOO-LARGE
stepbros010-XL,1,AMZ-PG-APP-TOO-SMALL
customslides1-11-black,1,CR-SWITCHEROO
hollywoodbandana,1,CR-UNWANTED_ITEM
junkfood187-XXL,1,AMZ-PG-APP-TOO-LARGE
100576BROWN-S,1,AMZ-PG-BAD-DESC
suicidesquad003-3X,1,AMZ-PG-APP-TOO-SMALL
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL
3001-White-ChampionShirt-M,1,CR-DEFECTIVE
Tekashi69WigTattooSet,1,CR-UNWANTED_ITEM
btlc004-L,1,AMZ-PG-APP-TOO-SMALL
btlc004-L,1,AMZ-PG-APP-TOO-SMALL
Hoff001-S,1,AMZ-PG-APP-TOO-SMALL
TSM20002TV-WoodyBelt-S,1,AMZ-PG-APP-TOO-SMALL
roddypiper001-M,1,AMZ-PG-APP-TOO-SMALL
hulk003-S,1,CR-UNWANTED_ITEM
wwe060blue-S,1,CR-UNWANTED_ITEM
hulk003-L,1,CR-UNWANTED_ITEM
wwe060blue-M,1,CR-UNWANTED_ITEM
hulkhogancostumesetREDsunREDban-S,1,CR-UNWANTED_ITEM
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
SheriffWoodyBadge,1,CR-UNWANTED_ITEM
fearloathingglasses,1,CR-QUALITY_UNACCEPTABLE
220785-DumbDumber-ORNG-M,1,CR-UNWANTED_ITEM
JLSN243-TuneSquadSHORTS-XS,1,AMZ-PG-APP-TOO-LARGE
great004-XL,1,CR-DEFECTIVE
SantaBoots-100580-XL,1,AMZ-PG-APP-TOO-SMALL
886757Raph-L,1,AMZ-PG-APP-TOO-LARGE
886757Raph-L,1,AMZ-PG-APP-TOO-LARGE
TweetySleepSet-WB1785-69-M,1,CR-UNWANTED_ITEM
DiscoShirt-204055-XXL,1,AMZ-PG-APP-TOO-SMALL
RacineBellsCostumeDressWomens-L/XL,1,CR-UNWANTED_ITEM
204073-PresidentPedroShirt-XL,1,CR-UNWANTED_ITEM
woodycostumeshirt-S-M,1,AMZ-PG-BAD-DESC
peanuts048-7X/8,1,AMZ-PG-APP-TOO-SMALL
revengenerds005-L,1,AMZ-PG-APP-TOO-LARGE
customshirtRoyalBlue-L,1,CR-SWITCHEROO
220752-RockfordPeachesMENS-L/XL,1,AMZ-PG-APP-TOO-LARGE
waynesworld002-L,1,AMZ-PG-APP-STYLE
stepbros010-XL,1,AMZ-PG-APP-TOO-SMALL
powerrangersocks001-Yellow,1,CR-UNWANTED_ITEM
puddinchoker,1,AMZ-PG-WJ-TOO-SMALL
hulkpants001-L,1,CR-UNWANTED_ITEM
machomanbriefs-L,1,CR-UNWANTED_ITEM
machomanbandana-Orange,1,CR-UNWANTED_ITEM
heavyweights001TANK-M,1,CR-NOT_COMPATIBLE
TweetySleepSet-WB1785-69-S,1,CR-SWITCHEROO
felix006jr-S,1,AMZ-PG-APP-TOO-SMALL
revengenerds005-L,1,CR-SWITCHEROO
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
btlc004-M,1,AMZ-PG-APP-TOO-SMALL
beautybeast001-L-XL,1,CR-DEFECTIVE
rockyrobe1,1,CR-QUALITY_UNACCEPTABLE
fightclubglasses001,1,AMZ-PG-APP-STYLE
RickMortyPajamaSet-JCITV-M,1,AMZ-PG-APP-TOO-SMALL
4U8ML-BERT-CostumeShirt-L,2,CR-UNWANTED_ITEM
nintendo020-XS,1,AMZ-PG-APP-TOO-LARGE
hulk001N-S,1,CR-UNWANTED_ITEM
mash003-S,1,AMZ-PG-APP-TOO-SMALL
mm001Nblu-L,1,CR-SWITCHEROO
204070-Detective&BlueShirt-XL,1,CR-SWITCHEROO
FWMSC20-StantzShirt-2XL,1,CR-UNWANTED_ITEM
FXMSC20-SpenglerShirt-3XL,1,CR-UNWANTED_ITEM
FYMSC20-ZeddemoreShirt-L,1,CR-UNWANTED_ITEM
machomanbandana-Orange,1,DID_NOT_LIKE_COLOR
hulkpants001-L,1,DID_NOT_LIKE_COLOR
machomanbriefs-L,1,AMZ-PG-APP-STYLE
wrestlingboots-Lred,1,DID_NOT_LIKE_FABRIC
stepbros010-M,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-MW,1,AMZ-PG-BAD-DESC
wrestlingboots-LY,1,DID_NOT_LIKE_FABRIC
glee012-M,1,AMZ-PG-APP-TOO-SMALL
YellowBandanaYellowGlasses,1,CR-DEFECTIVE
WB1658-WB1659-WonderWomanCostumeSet-L,1,CR-MISSED_ESTIMATED_DELIVERY
hulk003-XL,1,CR-UNWANTED_ITEM
hulkhogancostumesetREDsunREDban-XL,1,CR-UNWANTED_ITEM
TweetySleepSet-WB1785-69-M,1,CR-UNWANTED_ITEM
TweetySleepSet-WB1785-69-L,1,CR-UNWANTED_ITEM
hulkpants001-L,1,DID_NOT_LIKE_FABRIC
machomanbriefs-L,1,DID_NOT_LIKE_FABRIC
machomanbandana-Orange,1,DID_NOT_LIKE_FABRIC
woodycostumeshirt-3XL,1,DID_NOT_LIKE_FABRIC
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM
100950-CowboyChaps,1,AMZ-PG-BAD-DESC
waynesworldhat,1,CR-QUALITY_UNACCEPTABLE
mash003-L,1,AMZ-PG-APP-TOO-SMALL
ChristmasOrnaments-HumpingReindeer-10078,1,CR-DAMAGED_BY_FC
beautybeast001-L-XL,1,CR-ORDERED_WRONG_ITEM
machomanbandana-Purple,1,CR-UNWANTED_ITEM
yogabba004-M,1,DID_NOT_LIKE_FABRIC
dresshat001HAT1-Yellow,1,CR-MISSED_ESTIMATED_DELIVERY
101001-MachoManBandana,1,AMZ-PG-APP-STYLE
220759-BLUE-DetectiveBLUEShirt1-M,1,CR-ORDERED_WRONG_ITEM
ferris010-L,1,CR-UNWANTED_ITEM
soahat005-L/XL,1,AMZ-PG-APP-TOO-LARGE
dresshat001HAT1-Orange,1,AMZ-PG-APP-TOO-SMALL
220078-SharkChubSuitYellow-Teen,1,CR-DEFECTIVE
frozenbag002,1,CR-DEFECTIVE
ChristmasSocks-HumpingReindeer-100763,1,CR-SWITCHEROO
cobrakaiheadband,1,CR-MISSED_ESTIMATED_DELIVERY
drseuss031-L,1,CR-SWITCHEROO
wrestlingboots-XLW,1,AMZ-PG-APP-TOO-LARGE
WoodyLongSleeveAdultShirt-XXL,1,AMZ-PG-BAD-DESC
FXMSC20-SpenglerShirt-L,1,CR-MISSED_ESTIMATED_DELIVERY
JLSN217-TuneSquadDAFFY-XXL,1,CR-UNWANTED_ITEM
JLSN214-TuneSquadBUGS-3XL,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-S/Mdeluxe,1,AMZ-PG-APP-TOO-SMALL
EMSQ6009TV-HarleyQuinnGloveSET,1,DID_NOT_LIKE_COLOR
Custom-LST307-Womens-Black-L,1,DID_NOT_LIKE_FABRIC
christmasvaca011-XXXL,1,AMZ-PG-APP-TOO-SMALL
alanbabycarriercostumeDELUXE-XL,1,CR-UNWANTED_ITEM
eastbound014-XXL,1,DID_NOT_LIKE_FABRIC
JLSN219-TuneSquadLOLA-L,1,AMZ-PG-APP-STYLE
JLSN243-TuneSquadSHORTS-M,1,AMZ-PG-APP-STYLE
JLSN243-TuneSquadSHORTS-XL,1,AMZ-PG-APP-STYLE
JLSN214-TuneSquadBUGS-XXL,1,AMZ-PG-APP-STYLE
204089-ModernLife-XXL,1,DID_NOT_LIKE_FABRIC
customshirtLightGrey-XXL,1,CR-QUALITY_UNACCEPTABLE
customshirtCharcoal-3XL,1,AMZ-PG-APP-TOO-SMALL
suicidesquad003-S,1,CR-FOUND_BETTER_PRICE
suicidesquad004-M,1,CR-FOUND_BETTER_PRICE
runningman001-2XL,1,AMZ-PG-APP-TOO-SMALL
alanbabycarriercostume,1,CR-UNWANTED_ITEM
christmasvaca003green-L,1,DID_NOT_LIKE_FABRIC
hotrodcostumeset-L,1,CR-MISSED_ESTIMATED_DELIVERY
RedBandanaRedGlasses,1,AMZ-PG-APP-TOO-LARGE
220080-SharkChubSuitPink-Adult,1,CR-DEFECTIVE
WuTangKillerBeesUCS-M,1,AMZ-PG-APP-TOO-LARGE
WuTangKillerBeesUCS-L,1,AMZ-PG-APP-TOO-LARGE
nwo003-M,1,CR-UNWANTED_ITEM
rockyrobe1,1,CR-MISSED_ESTIMATED_DELIVERY
suicidesquad004-M,1,AMZ-PG-APP-TOO-LARGE
doubledare001red-XL,1,CR-UNWANTED_ITEM
junk377-S,1,AMZ-PG-APP-TOO-SMALL
100950-CowboyChaps,1,CR-UNWANTED_ITEM
CowgirlShirt-204051-L,1,CR-UNWANTED_ITEM
SheriffWoodyBadge,1,CR-UNWANTED_ITEM
100578BLACK-L,1,AMZ-PG-APP-TOO-SMALL
204089-ModernLife-S,1,CR-UNWANTED_ITEM
apollorobe,4,CR-MISSED_ESTIMATED_DELIVERY
wrestlingboots-LY,1,AMZ-PG-APP-TOO-SMALL
ANWshirtYouth-M,1,AMZ-PG-BAD-DESC
customshirtCharcoal-L,1,AMZ-PG-APP-TOO-LARGE
drseuss015-M,1,AMZ-PG-APP-TOO-SMALL
spacedogwig001,1,CR-QUALITY_UNACCEPTABLE
roddypiper001-XXL,1,AMZ-PG-APP-TOO-LARGE
customshirtBlack-XXL,1,DID_NOT_LIKE_FABRIC
100576BLACK-L,1,AMZ-PG-APP-STYLE
bigl032-M,1,AMZ-PG-APP-TOO-SMALL
jerseyshoreglasses,1,CR-DEFECTIVE
hulk003red-S,1,AMZ-PG-APP-TOO-SMALL
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-LARGE
fireflysocks001,1,CR-MISSED_ESTIMATED_DELIVERY
hulk003redN-S,1,AMZ-PG-APP-TOO-SMALL
CustomTuneSquadSleepSet-WB1885-M,1,AMZ-PG-BAD-DESC
sbtbslaterjersey-XL,1,CR-UNWANTED_ITEM
hulkhogancostumesetYELsunREDban-2X,1,CR-FOUND_BETTER_PRICE
hangoversatchel,1,CR-UNWANTED_ITEM
hulk001-L,1,CR-SWITCHEROO
workaholicscostume001,1,DID_NOT_LIKE_FABRIC
starwars129-3XL,1,CR-DEFECTIVE
siliconvalley003-XL,1,AMZ-PG-APP-TOO-LARGE
siliconvalley004-XL,1,AMZ-PG-APP-TOO-SMALL
Custom-MousePad-Square,1,CR-MISSED_ESTIMATED_DELIVERY
beautybeast001-L-XL,1,AMZ-PG-BAD-DESC
wrestlingboots-MW,1,CR-UNWANTED_ITEM
mash003-XXXL,1,CR-DEFECTIVE
apollorobe,1,CR-UNWANTED_ITEM
amywinehousewig,2,AMZ-PG-BAD-DESC
220786-LT-DumbDumber-BLUE-S,1,CR-DEFECTIVE
220786-LT-DumbDumber-BLUE-S,1,CR-DEFECTIVE
100980-TheQueenMusicBeltArmband,1,CR-UNWANTED_ITEM
sbb021-S,1,AMZ-PG-APP-TOO-SMALL
avatar002-L,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
eastbound019-M,1,AMZ-PG-APP-TOO-SMALL
soahat002-L/XL,1,AMZ-PG-APP-TOO-LARGE
SecretStuffWaterBottle,1,CR-UNWANTED_ITEM
BrownDreadlocks-1230,1,CR-MISSED_ESTIMATED_DELIVERY
batmanswim005-M,1,AMZ-PG-BAD-DESC
SpaceJamHeadWristBand-ECLT7021TV,1,AMZ-PG-BAD-DESC
customshirtBlack-L,1,CR-DEFECTIVE
karateheadband,1,AMZ-PG-APP-STYLE
InflatableGiraffe-Teen,1,AMZ-PG-APP-TOO-LARGE
RickMortyPajamaSet-JCITV-M,1,AMZ-PG-APP-TOO-SMALL
AMZTVSO-BEER-3600-BLACK-M,1,CR-SWITCHEROO
AMZTVSO-BEER-3600-BLACK-L,1,CR-SWITCHEROO
MightyDucksJersey-Banks-L,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
wonderwomanbikini002-S,1,CR-DEFECTIVE
ashleyschaeffer001,1,AMZ-PG-APP-TOO-SMALL
batmanswim005-S,1,AMZ-PG-BAD-DESC
DiscoShirt-204055-L/XL,1,CR-UNWANTED_ITEM
sharkcostume-teen,1,CR-MISSED_ESTIMATED_DELIVERY
cowbellshirt-M,1,AMZ-PG-APP-TOO-SMALL
powerrangers018red-0/6,1,DID_NOT_LIKE_COLOR
3001-White-ChampionShirt-M,1,DID_NOT_LIKE_COLOR
220660rlxl,1,CR-DEFECTIVE
M&M-Green-ADULT-Shirt-2XL,1,AMZ-PG-APP-STYLE
roddypiper001-XL,1,AMZ-PG-APP-TOO-LARGE
santachubsuitTEEN,4,AMZ-PG-APP-TOO-SMALL
drseuss022-XL,1,AMZ-PG-APP-TOO-SMALL
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL
204075-TonyBadGuyShirt-L/XL,1,AMZ-PG-APP-TOO-LARGE
customshirtBlack-M,1,CR-QUALITY_UNACCEPTABLE
hulk003-S,1,AMZ-PG-APP-TOO-LARGE
hulkb1goldN,1,CR-UNWANTED_ITEM
ultimatewarriorbandSet,1,CR-UNWANTED_ITEM
hotrodcostumeset-L,1,CR-UNWANTED_ITEM
100576BROWN-L,1,AMZ-PG-APP-TOO-SMALL
suicidesquad005womens-M,1,CR-MISSED_ESTIMATED_DELIVERY
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL
alanbabycarriercostume,1,AMZ-PG-APP-STYLE
fightclub004-SM,1,CR-UNWANTED_ITEM
BrownDreadlocks-1230,2,CR-ORDERED_WRONG_ITEM
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
amywinehousewig,1,CR-UNWANTED_ITEM
drwhohatandbowtie001,1,AMZ-PG-APP-TOO-LARGE
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
heavyweights001TANK-L,1,CR-SWITCHEROO
wrestlingboots-Mred,1,CR-DEFECTIVE
runningshorts001YELLOW-S-M,1,AMZ-PG-BAD-DESC
RickMortyPajamaSet-JCITV-S,1,AMZ-PG-APP-TOO-SMALL
DSTS26NGS-JessieJuniorsTshirt-M,1,CR-QUALITY_UNACCEPTABLE
JessieWig,1,CR-UNWANTED_ITEM
220079-SharkChubSuitBlue-Adult,1,CR-DEFECTIVE
220080-SharkChubSuitPink-Teen,1,CR-DEFECTIVE
suicidesquad004-L,1,AMZ-PG-APP-TOO-LARGE
tmntonesieORANGE-12M,1,AMZ-PG-APP-TOO-SMALL
WB1620-HarleyQuinnCorset-L,1,CR-DEFECTIVE
nwo003-XXL,1,AMZ-PG-APP-TOO-SMALL
hulk003-XL,1,AMZ-PG-APP-TOO-LARGE
TweetySleepSet-WB1785-69-L,1,CR-UNWANTED_ITEM
220079-SharkChubSuitBlue-Adult,1,CR-DEFECTIVE
DiscoShirt-204055-XXL,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-SMALL
204070-Detective&BlueShirt-M,1,CR-ORDERED_WRONG_ITEM
apollorobe,1,AMZ-PG-APP-STYLE
JLSN214-TuneSquadBUGS-S,1,AMZ-PG-APP-TOO-SMALL
amywinehousewig,1,AMZ-PG-BAD-DESC
bigl020-XXXL,1,AMZ-PG-APP-TOO-SMALL
ledzeppelin002-S,1,AMZ-PG-APP-TOO-LARGE
hangoversatchel,1,CR-UNWANTED_ITEM
hangoverglasses,1,CR-UNWANTED_ITEM
SecretStuffWaterBottle,1,CR-UNWANTED_ITEM
great003-M,1,AMZ-PG-APP-TOO-SMALL
powerrangers014GREEN-S4T,1,DID_NOT_LIKE_FABRIC
ultimatewarriorbandSet,1,CR-UNWANTED_ITEM
RickMortyPajamaSet-JCITV-M,1,AMZ-PG-APP-TOO-SMALL
jerseyshoreglasses,1,CR-DEFECTIVE
220730-KangarooFlappySuit-ADULT-S/M,1,CR-SWITCHEROO
Hoff001-XL,1,CR-UNWANTED_ITEM
baysidedress001-L,1,AMZ-PG-APP-TOO-LARGE
baysidedress001-S,1,AMZ-PG-APP-TOO-SMALL
SpaceJamHeadWristBand-ECLT7021TV,1,CR-MISSED_ESTIMATED_DELIVERY
220074-PenguinChubSuit-Teen,1,CR-MISSED_ESTIMATED_DELIVERY
btlc004-XL,1,AMZ-PG-APP-TOO-LARGE
breakingbad004navy-XL,2,CR-MISSED_ESTIMATED_DELIVERY
breakingbad004navy-L,2,CR-UNWANTED_ITEM
alanbabycarriercostume,1,CR-QUALITY_UNACCEPTABLE
terryheadband-darkgreen,2,CR-DEFECTIVE
cobrakaiheadband,1,CR-UNWANTED_ITEM
wrestlingboots-MW,1,CR-UNWANTED_ITEM
dresshat001HAT2-Grey,1,CR-QUALITY_UNACCEPTABLE
220066-SpacemenChubSuit-Adult,1,AMZ-PG-BAD-DESC
hulk003-L,1,AMZ-PG-APP-TOO-LARGE
coketankdress-2X,1,AMZ-PG-APP-TOO-SMALL
