SKU,Quantity,Reason
hulk003redN-S,1,AMZ-PG-APP-TOO-SMALL
RickMortyPajamaSet-JCITV-M,1,AMZ-PG-APP-TOO-LARGE
plumtree001-XL,1,AMZ-PG-BAD-DESC
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL
stepbros010-L,1,AMZ-PG-APP-TOO-SMALL
220635-std,1,CR-MISSED_ESTIMATED_DELIVERY
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
incredhulk006-S,1,AMZ-PG-APP-TOO-LARGE
220619-std,1,CR-QUALITY_UNACCEPTABLE
sanford064-M,1,AMZ-PG-APP-TOO-SMALL
marvel050-L,1,CR-DEFECTIVE
amywinehousewig,1,CR-DEFECTIVE
Custom-RS4400-RoyalBlue-6_12m,1,CR-DEFECTIVE
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
drseuss024-XXL,1,CR-SWITCHEROO
nwo004red-L,1,AMZ-PG-APP-TOO-SMALL
SpaceJamHeadWristBand-ECLT7021TV,1,CR-UNWANTED_ITEM
rockyshorts-M,1,AMZ-PG-APP-TOO-LARGE
sharkcostume-XXL,1,CR-UNWANTED_ITEM
heavyweights001TANK-M,1,CR-QUALITY_UNACCEPTABLE
sesame034-6,1,CR-DEFECTIVE
Custom-MousePad-Square,1,CR-ORDERED_WRONG_ITEM
biglpants001-XXL,1,DID_NOT_LIKE_COLOR
WB1658-WB1659-WonderWomanCostumeSet-XXL,1,CR-UNWANTED_ITEM
buttheadcostume-XXL,1,AMZ-PG-APP-TOO-LARGE
220627-youth,1,AMZ-PG-APP-TOO-SMALL
bigl012-S,2,AMZ-PG-APP-TOO-SMALL
hulkamaniawrestlingbelt-red,1,DID_NOT_LIKE_FABRIC
CustomFaceMaks2,1,CR-DEFECTIVE
220660gldxxl,1,CR-MISSED_ESTIMATED_DELIVERY
rockyrobe1,1,AMZ-PG-APP-TOO-LARGE
bigdudewig001,1,AMZ-PG-BAD-DESC
biglpants001-XXL,1,CR-QUALITY_UNACCEPTABLE
sharkcostume-teen,1,CR-DEFECTIVE
sharkcostume-teen,1,CR-QUALITY_UNACCEPTABLE
rockyrobe1,1,AMZ-PG-APP-TOO-SMALL
greatest002-XXL,1,AMZ-PG-APP-TOO-LARGE
ricflare001-black,1,CR-UNWANTED_ITEM
ricflare001-pink,1,CR-UNWANTED_ITEM
hulk003redN-XL,1,CR-DEFECTIVE
customshirtLightGrey-L,1,CR-DEFECTIVE
customshirtCharcoal-M,1,CR-DEFECTIVE
SM0045-SimpsonsTshirt-XL,1,AMZ-PG-APP-TOO-SMALL
SpaceJamHeadWristBand-ECLT7021TV,1,CR-UNWANTED_ITEM
sein023-M,1,CR-DEFECTIVE
arrestedbobblehead002,1,CR-DEFECTIVE
bigl012-M,1,AMZ-PG-APP-TOO-LARGE
hulk003-L,1,CR-MISSED_ESTIMATED_DELIVERY
220660gsm,1,AMZ-PG-BAD-DESC
wrestlingboots-LBlu,1,CR-DEFECTIVE
ANWshirtYouth-S,1,AMZ-PG-APP-STYLE
mash003-L,1,AMZ-PG-APP-TOO-SMALL
Office008-XL,1,CR-UNWANTED_ITEM
hulk003-XL,1,AMZ-PG-APP-TOO-LARGE
breakingbadhat001,1,AMZ-PG-APP-TOO-SMALL
customshirtCharcoal-L,1,AMZ-PG-APP-TOO-LARGE
bigbang006b-XXL,1,AMZ-PG-APP-TOO-LARGE
bigl012-3X,1,AMZ-PG-APP-STYLE
bigl012-XXL,1,AMZ-PG-APP-STYLE
stepbros010-S,1,AMZ-PG-APP-TOO-SMALL
RickMortyPajamaSet-JCITV-S,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-teen,1,CR-UNWANTED_ITEM
100950-CowboyChaps,1,AMZ-PG-APP-TOO-LARGE
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
WuTangLoungePants-LN0010-52-XL,1,AMZ-PG-APP-TOO-SMALL
220660bkxs,1,CR-QUALITY_UNACCEPTABLE
starwars089-XL,1,AMZ-PG-APP-TOO-LARGE
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM
wrestlingboots-MY,1,DID_NOT_LIKE_COLOR
ElvisGlasses001-Gold,1,CR-DEFECTIVE
SecretStuffWaterBottle,1,CR-UNWANTED_ITEM
220079-SharkChubSuitBlue-Adult,1,CR-UNWANTED_ITEM
220079-SharkChubSuitBlue-Adult,1,CR-MISSING_PARTS
RM0314-TShirtPantsPajamaSet-L,1,AMZ-PG-APP-TOO-SMALL
siliconvalley005-S,1,AMZ-PG-APP-TOO-SMALL
RM0314-TShirtPantsPajamaSet-L,1,CR-DEFECTIVE
JLSN243-TuneSquadSHORTS-XXL,1,AMZ-PG-APP-TOO-SMALL
stepbros004-L,1,AMZ-PG-APP-TOO-LARGE
DunderMifflinSocks,1,CR-MISSED_ESTIMATED_DELIVERY
sharkcostume-teen,1,CR-DEFECTIVE
JLSN243-TuneSquadSHORTS-XXL,1,AMZ-PG-APP-TOO-SMALL
ApolloShorts-S,1,CR-UNWANTED_ITEM
apollorobe,1,CR-UNWANTED_ITEM
metallica003-L,1,AMZ-PG-APP-TOO-SMALL
cobrakaiheadband,1,CR-UNWANTED_ITEM
usaboardshorts003-XL,1,AMZ-PG-APP-TOO-SMALL
flinttropicssocks,1,DID_NOT_LIKE_COLOR
nwo004red-XL,1,AMZ-PG-APP-TOO-LARGE
ferris010-M,1,AMZ-PG-APP-TOO-SMALL
WayneWig-1195,1,AMZ-PG-APP-STYLE
suicidesquad003-S,1,AMZ-PG-BAD-DESC
SM0045-SimpsonsTshirt-L,1,CR-UNWANTED_ITEM
rockyrobe1,1,CR-UNWANTED_ITEM
220695-LightUpCostume-XXL,2,CR-SWITCHEROO
chubsuitcostume001Teen-Blue,1,CR-UNWANTED_ITEM
PickleRickUCS-RMSM2647-3XL,1,CR-UNWANTED_ITEM
custom-NameNum-leagueoftheirown-S-M,1,AMZ-PG-APP-TOO-SMALL
204070-Detective&BlueShirt-L,1,CR-UNWANTED_ITEM
JLSN243-TuneSquadSHORTS-L,1,CR-SWITCHEROO
PolkHighJersey-XL,1,AMZ-PG-BAD-DESC
PolkHighJersey-XL,1,AMZ-PG-BAD-DESC
JLSN217-TuneSquadDAFFY-S,2,CR-UNWANTED_ITEM
trueblood009j-L,1,AMZ-PG-APP-TOO-SMALL
204089-ModernLife-L,1,CR-MISSED_ESTIMATED_DELIVERY
hangoverglasses,1,CR-MISSED_ESTIMATED_DELIVERY
wwe060blue-XL,1,AMZ-PG-APP-STYLE
sundrop001-M,1,AMZ-PG-APP-TOO-SMALL
super051-XL,1,AMZ-PG-APP-TOO-LARGE
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
fearloathingglasses,1,CR-DEFECTIVE
SecretStuffWaterBottle,1,CR-MISSED_ESTIMATED_DELIVERY
220660pklxl,1,AMZ-PG-APP-TOO-LARGE
220660bkxxl,1,AMZ-PG-APP-TOO-LARGE
customslides1-9-black,1,AMZ-PG-APP-TOO-SMALL
bigl020-S,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-Small/Medium,1,CR-MISSED_ESTIMATED_DELIVERY
wildthingscostume001-XXL,1,AMZ-PG-APP-TOO-LARGE
RiverdaleHat001,1,AMZ-PG-APP-TOO-LARGE
customshirtBlack-L,1,CR-DEFECTIVE
customshirtBlack-L,1,DID_NOT_LIKE_COLOR
serenity009-XL,1,AMZ-PG-APP-TOO-LARGE
204070-Detective&BlueShirt-M,1,CR-UNAUTHORIZED_PURCHASE
hulk003redN-XL,1,CR-MISSED_ESTIMATED_DELIVERY
super071-6-9,1,AMZ-PG-APP-TOO-SMALL
biglpants001-S,1,AMZ-PG-APP-TOO-SMALL
220757-AverageJoesWomensSet-S,1,CR-UNWANTED_ITEM
dodgeball003-L,1,CR-UNWANTED_ITEM
DiscoShirt-204055-L/XL,1,AMZ-PG-APP-TOO-LARGE
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-LARGE
hangoverglasses,1,CR-MISSED_ESTIMATED_DELIVERY
tmntbackpack1,1,AMZ-PG-APP-TOO-LARGE
220660gxs,1,AMZ-PG-BAD-DESC
fearloathingglasses,1,AMZ-PG-BAD-DESC
sharkcostume-teen,1,AMZ-PG-APP-TOO-LARGE
beautybeast001-S-M,1,AMZ-PG-APP-TOO-LARGE
jerseyshoreglasses,1,CR-DEFECTIVE
junkfood187-L,1,AMZ-PG-APP-TOO-SMALL
DiscoShirt-204055-S/M,1,DID_NOT_LIKE_FABRIC
CustomFaceMaks2,1,CR-DEFECTIVE
fearloathingglasses,1,AMZ-PG-BAD-DESC
100578BLACK-XL,1,AMZ-PG-APP-TOO-SMALL
100578BLACK-XL,1,AMZ-PG-APP-TOO-SMALL
DiscoShirt-204055-XXL,1,CR-UNWANTED_ITEM
starwars074-XL,1,AMZ-PG-BAD-DESC
rockyshorts-M,1,CR-MISSED_ESTIMATED_DELIVERY
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
Offspace001-M,1,AMZ-PG-APP-TOO-SMALL
starwars089-L,1,AMZ-PG-APP-TOO-LARGE
sein023-XL,1,AMZ-PG-APP-TOO-SMALL
rockyrobe1,2,AMZ-PG-APP-TOO-LARGE
RiverdaleTankSkirtSet-WR0345-69-XL,1,CR-QUALITY_UNACCEPTABLE
powerrangersleggings001YELLOW-XL,1,AMZ-PG-APP-TOO-LARGE
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
sanford064-XXXL,1,AMZ-PG-APP-TOO-LARGE
hulk001N-XXXL,1,CR-MISSED_ESTIMATED_DELIVERY
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
fearloathingglasses,1,CR-DEFECTIVE
rockyrobe1,1,AMZ-PG-APP-TOO-SMALL
stepbros010-XL,1,AMZ-PG-APP-STYLE
dresshat001HAT2-Grey,1,AMZ-PG-APP-TOO-SMALL
amywinehousewig,1,CR-UNWANTED_ITEM
flinttropicscostume,1,AMZ-PG-APP-TOO-SMALL
superherocape002ADULTblk-blu,1,CR-UNWANTED_ITEM
Custom-Gildan2700-Black-XL,1,CR-SWITCHEROO
customshirtCharcoal-XL,1,AMZ-PG-APP-TOO-LARGE
supergirlswim001a-L,1,AMZ-PG-APP-TOO-LARGE
tmntbackpack1,1,CR-UNWANTED_ITEM
DarkHairMustache-1227,1,AMZ-PG-APP-STYLE
jerseyshoreglasses,1,CR-DEFECTIVE
fridaynight001-S,1,AMZ-PG-BAD-DESC
hulk001r-XXL,1,CR-UNWANTED_ITEM
stepbros010-L,1,AMZ-PG-APP-TOO-SMALL
220077-HotDogChubSuit-Adult,1,AMZ-PG-APP-TOO-SMALL
hulk007N-18,2,CR-UNWANTED_ITEM
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL
topgun014-M,1,AMZ-PG-APP-TOO-SMALL
biglpants001-XXL,1,AMZ-PG-APP-TOO-LARGE
office006blue-M,1,AMZ-PG-APP-TOO-SMALL
100578BLACK-L,1,CR-UNWANTED_ITEM
pedro009-XL,1,AMZ-PG-APP-TOO-LARGE
sonsofanarchy026-XL,1,AMZ-PG-APP-TOO-SMALL
mermaidfin001BLUE-XXL,1,CR-UNWANTED_ITEM
deadpool010-L,1,AMZ-PG-APP-TOO-SMALL
powerrangerssweatshirtBlue-M,1,DID_NOT_LIKE_COLOR
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
100576BLACK-S,1,AMZ-PG-APP-TOO-SMALL
CocaColaLeggings-CCXX1-M,1,CR-DEFECTIVE
coketankdress-S,1,CR-DEFECTIVE
JLSN243-TuneSquadSHORTS-L,1,AMZ-PG-APP-TOO-LARGE
220654-MST,1,CR-UNWANTED_ITEM
beautybeast001-L-XL,1,CR-DEFECTIVE
superherocape002ADULTred-red,1,CR-MISSED_ESTIMATED_DELIVERY
stepbros010-S,1,AMZ-PG-APP-TOO-SMALL
wwecape001-orange,1,CR-UNWANTED_ITEM
btlc004-M,1,AMZ-PG-APP-TOO-SMALL
uglysweater44-XL,1,AMZ-PG-APP-TOO-LARGE
batman0754-S,1,AMZ-PG-APP-TOO-LARGE
CustomFaceMaks2,1,CR-ORDERED_WRONG_ITEM
puddinchoker,1,CR-UNWANTED_ITEM
machomanbandana-Pink,1,DID_NOT_LIKE_COLOR
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
biglpants001-XXL,1,AMZ-PG-APP-TOO-LARGE
trueblood009-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
WayneWig-1195,1,AMZ-PG-APP-TOO-SMALL
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL
sein023-S,1,AMZ-PG-APP-TOO-SMALL
RickMortyPajamaSet-JCITV-M,1,AMZ-PG-APP-TOO-SMALL
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DEFECTIVE
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
customshirtBlack-XXL,1,AMZ-PG-APP-TOO-SMALL
junkfood187-L,1,AMZ-PG-APP-TOO-SMALL
bigbangpants001-XXL,1,AMZ-PG-APP-TOO-LARGE
customslides1-13-grey,1,CR-QUALITY_UNACCEPTABLE
Futurama003-S,1,AMZ-PG-APP-STYLE
Futurama003-M,1,AMZ-PG-APP-STYLE
DiscoShirt-204055-L/XL,1,DID_NOT_LIKE_FABRIC
alanbabycarriercostume,1,CR-MISSED_ESTIMATED_DELIVERY
204075-TonyBadGuyShirt-L/XL,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirownGIRLS-5/6,2,AMZ-PG-APP-TOO-LARGE
wrestlingboots-MW,1,CR-UNWANTED_ITEM
wwe060purple-XL,1,CR-FOUND_BETTER_PRICE
