SKU,Quantity,Reason
uglysweater55-M,1,AMZ-PG-APP-TOO-SMALL
CVSM2258-MooseHead-2X,1,AMZ-PG-BAD-DESC
runningshorts001YELLOW-L-XL,1,AMZ-PG-APP-STYLE
100584-SheriffBoots-10/11,1,CR-MISSED_ESTIMATED_DELIVERY
GDSM2659TV-GratefullDeadBear-L,1,AMZ-PG-APP-TOO-SMALL
suicidesquad004-S,1,CR-MISSED_ESTIMATED_DELIVERY
424701,1,AMZ-PG-APP-STYLE
ultimatewarriorbandSet,1,DID_NOT_LIKE_FABRIC
ultimatewarriorwristbands,1,AMZ-PG-WJ-TOO-LARGE
heinztankdressketchup-XXL,1,CR-QUALITY_UNACCEPTABLE
tmnt045Don-M,1,CR-UNWANTED_ITEM
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE
richardsimmons001-S-M,1,CR-MISSED_ESTIMATED_DELIVERY
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC
RMSM3847-RickMortyHolidayPartyUCS-4XL,1,AMZ-PG-APP-TOO-SMALL
RWTM09-BabyYodaUCS-3XL,1,AMZ-PG-APP-TOO-SMALL
uglysweater60-XL,1,CR-SWITCHEROO
NL029-ChristmasVacationPajamaSet-L,1,AMZ-PG-APP-TOO-LARGE
BoxingRobe-Black,1,CR-MISSED_ESTIMATED_DELIVERY
soahat014,1,CR-UNWANTED_ITEM
220650-S/M,1,AMZ-PG-APP-TOO-SMALL
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE
ricflare001-pink,1,CR-QUALITY_UNACCEPTABLE
OESM2387TV-DwightBeetsSweater-XL,1,AMZ-PG-APP-TOO-SMALL
bobsburgersbeanie001,1,CR-UNWANTED_ITEM
stepbros001-M,1,AMZ-PG-APP-TOO-SMALL
CVSM2258-MooseHead-2X,1,AMZ-PG-APP-TOO-LARGE
ghost017-XL,1,AMZ-PG-APP-TOO-LARGE
102025-InfOrnament-18-Blue,1,CR-ORDERED_WRONG_ITEM
CVSM2258-MooseHead-M,1,AMZ-PG-APP-TOO-LARGE
HufflepuffRobe-HP0286-L/XL,1,CR-DAMAGED_BY_CARRIER
WolverineJacket-L,1,AMZ-PG-APP-TOO-SMALL
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL
102025-InfOrnament-18-Green,2,CR-MISSING_PARTS
102025-InfOrnament-18-White,2,CR-MISSING_PARTS
102026-InfOrnament-25-Red,2,CR-MISSING_PARTS
ChristmasOrnaments-ShittersFull-100788,1,CR-MISSED_ESTIMATED_DELIVERY
uglysweater52-3XL,1,CR-FOUND_BETTER_PRICE
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE
102025-InfOrnament-18-Green,1,CR-MISSING_PARTS
102025-InfOrnament-18-Red,2,CR-DEFECTIVE
NutsSweaterUCS1-L,1,CR-SWITCHEROO
wrestlingboots-LB,1,CR-MISSING_PARTS
NSHA2204-NarutoLeafHeadband,1,AMZ-PG-APP-TOO-LARGE
WuTangUnionSuit-LN0011-L,1,CR-UNWANTED_ITEM
204292-DeerRingSweater-3XL,1,AMZ-PG-APP-TOO-LARGE
100705-LegLampInflatable,1,CR-DAMAGED_BY_FC
220799-QuailMan-L,1,CR-UNWANTED_ITEM
WakandaForeverUCS-L,1,CR-SWITCHEROO
waldocostumeDELUXE-L,2,CR-UNWANTED_ITEM
pedrosanchez-Kit,1,CR-MISSED_ESTIMATED_DELIVERY
ChristmasSocks-FilthyAnimal-100751,1,CR-UNWANTED_ITEM
BoxingRobe-Black,1,AMZ-PG-APP-TOO-SMALL
biglpants001-XL,1,CR-UNWANTED_ITEM
220696-WOMENS-MimeCostumeSet-S,1,CR-UNWANTED_ITEM
rockynecklace,1,AMZ-PG-BAD-DESC
WB1241-WB1249-HarleyQuinnCostumeSet-S,1,AMZ-PG-APP-TOO-SMALL
RWTM09-BabyYodaUCS-2XL,1,AMZ-PG-APP-TOO-SMALL
Thing1-6-UnionSuit-ADULT-XL,2,CR-DEFECTIVE
204070-Detective&BlueShirt-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
CVSM2258-MooseHead-3X,1,AMZ-PG-APP-TOO-LARGE
ucs3d001-XXXL,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-XL,1,AMZ-PG-APP-TOO-SMALL
WB1658-WB1659-WonderWomanCostumeSet1-XL,1,CR-UNWANTED_ITEM
Inflatable001-BlackSanta8feet,1,CR-FOUND_BETTER_PRICE
toystorywoodyvest-XL-XXL,1,AMZ-PG-APP-TOO-LARGE
powerrangers015yellow-XL,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-LARGE
leagueoftheirowncostume-L/XL,1,CR-DEFECTIVE
custom-NameNum-leagueoftheirown-S-M,1,CR-UNWANTED_ITEM
ChristmasOrnaments-HumpingReindeer-10078,1,CR-MISSING_PARTS
220823-PinkBunny-KIDS-5/6,1,CR-ORDERED_WRONG_ITEM
102026-InfOrnament-25-Gold,3,CR-UNWANTED_ITEM
102025-InfOrnament-18-White,5,CR-UNWANTED_ITEM
dodgeball003N-M,1,CR-UNWANTED_ITEM
LegLampRedPants-WR0314-52-M,1,AMZ-PG-APP-TOO-LARGE
20327-CatalinaSweater-XL,1,CR-FOUND_BETTER_PRICE
ILoveXmasUCS-L,1,CR-UNWANTED_ITEM
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE
sbb015-S,1,AMZ-PG-APP-TOO-SMALL
uglysweater60-M,1,CR-DEFECTIVE
Santa-AnimatedPlushy,1,CR-DEFECTIVE
oktoberfestlederhosenPANTS-42,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-L,1,CR-UNWANTED_ITEM
tmnt045Don-L,1,CR-MISSED_ESTIMATED_DELIVERY
tmnt045Don-L,1,CR-MISSED_ESTIMATED_DELIVERY
Inflatable001-BlackSanta8feet,1,CR-UNWANTED_ITEM
JLSN243-TuneSquadSHORTS-XXL,1,CR-DEFECTIVE
CVSM2258-MooseHead-L,1,CR-UNWANTED_ITEM
220631-youth,1,AMZ-PG-APP-TOO-SMALL
trumpyuge-L,1,AMZ-PG-APP-TOO-LARGE
uglysweater56-XXL,1,CR-FOUND_BETTER_PRICE
stepbros011-S,1,DID_NOT_LIKE_FABRIC
starwars095-M,2,AMZ-PG-APP-TOO-SMALL
102026-InfOrnament-25-Gold,1,CR-UNWANTED_ITEM
dresshat001HAT1-Red,1,AMZ-PG-APP-TOO-SMALL
dresshat001HAT1-Green,1,AMZ-PG-APP-TOO-SMALL
RedNavyHumpingReindeer-20404-XS,1,AMZ-PG-APP-STYLE
apollorobe,1,AMZ-PG-APP-STYLE
DH394MAU1-DeadpoolSweater-L,1,CR-UNWANTED_ITEM
CVSM2258-MooseHead-M,1,AMZ-PG-APP-TOO-LARGE
suicidesquad004-L,1,AMZ-PG-APP-TOO-LARGE
ILoveXmasUCS-M,1,AMZ-PG-APP-TOO-SMALL
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
ShittersFullUnionSuit-WR0317-2XL,1,AMZ-PG-APP-TOO-SMALL
starwars168-S,1,AMZ-PG-BAD-DESC
flinttropicssocks,1,AMZ-PG-APP-TOO-LARGE
uglysweater52-3XL,1,CR-QUALITY_UNACCEPTABLE
SquidGameMask-Face,1,CR-MISSED_ESTIMATED_DELIVERY
SquidGameMask-Face,1,CR-MISSED_ESTIMATED_DELIVERY
bigl020-L,1,AMZ-PG-APP-STYLE
WB1658-WB1659-WonderWomanCostumeSet1-M,1,CR-MISSED_ESTIMATED_DELIVERY
BuzzLightYearLongSleeveAdultShirt-XL,1,AMZ-PG-APP-TOO-LARGE
102025-InfOrnament-18-Red,1,CR-UNWANTED_ITEM
102026-InfOrnament-25-Green,1,CR-UNWANTED_ITEM
102025-InfOrnament-18-Green,1,CR-UNWANTED_ITEM
102026-InfOrnament-25-Red,1,CR-UNWANTED_ITEM
DH394MAU1-DeadpoolSweater-3XL,1,DID_NOT_LIKE_FABRIC
DH394MAU1-DeadpoolSweater-XXL,1,DID_NOT_LIKE_FABRIC
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-LARGE
tmnt045Leo-S,1,AMZ-PG-APP-TOO-LARGE
alanbabycarriercostume,1,CR-UNWANTED_ITEM
DS197-UglySweater-XXL,1,AMZ-PG-APP-TOO-SMALL
uglysweater52-L,1,CR-UNWANTED_ITEM
HJCO2021-HootersCostumeSet-M,1,AMZ-PG-APP-TOO-LARGE
FilthyAnimalLoungePants-XF003-XL,1,AMZ-PG-APP-TOO-LARGE
waldocostumeDELUXE-XL,1,CR-UNWANTED_ITEM
dodgeball003-L,1,CR-UNWANTED_ITEM
Dodgeball003-M,1,CR-UNAUTHORIZED_PURCHASE
Dodgeball003-XL,1,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-XL,1,CR-UNWANTED_ITEM
CowgirlShirt-204051-S,1,CR-UNWANTED_ITEM
DS197-UglySweater-M,1,CR-SWITCHEROO
uglyjacketlights-L-XL,1,AMZ-PG-APP-TOO-SMALL
incredhulk006-XL,1,AMZ-PG-APP-TOO-SMALL
captamerica031-XXL,1,AMZ-PG-APP-TOO-LARGE
220745-AhoySailorCostume-WOMENS-XXL,1,AMZ-PG-APP-TOO-SMALL
3DHumpingReindeerUCS-S,1,CR-DAMAGED_BY_CARRIER
DH394MAU1-DeadpoolSweater-4XL,1,AMZ-PG-APP-TOO-SMALL
MightyDucksJersey-Bombay-3XL,1,AMZ-PG-APP-TOO-SMALL
coketankdress-M,1,AMZ-PG-APP-TOO-SMALL
coketankdress-L,1,AMZ-PG-APP-TOO-SMALL
StarWarsFinnJacket-XXL,1,AMZ-PG-APP-TOO-SMALL
sbb029-S,1,CR-SWITCHEROO
usa002-L,1,CR-MISSED_ESTIMATED_DELIVERY
nap027-L,1,CR-MISSED_ESTIMATED_DELIVERY
suicidesquad010-S,1,CR-UNWANTED_ITEM
204072-OfficeBossComboSet-L,1,CR-SWITCHEROO
KissmasFlappyUCS-S,1,AMZ-PG-APP-TOO-SMALL
napoleondynamite003,1,CR-MISSED_ESTIMATED_DELIVERY
pedroaccessorykit,1,CR-MISSED_ESTIMATED_DELIVERY
Thing1-6-UnionSuit-ADULT-L,1,CR-UNWANTED_ITEM
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-LARGE
dodgeball003-M,1,CR-UNWANTED_ITEM
20353-PNK-L,1,AMZ-PG-APP-TOO-SMALL
Superman001-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
Curly80'sHair-1232,1,CR-UNWANTED_ITEM
OESM2914TV-SchruteFarmsUCS-S,1,AMZ-PG-APP-TOO-SMALL
PE0006-SnoopyLoungePants-L,1,AMZ-PG-APP-TOO-LARGE
junkfood187-M,1,CR-UNWANTED_ITEM
B3SM2058TV-BOBROSS-M,1,AMZ-PG-APP-TOO-LARGE
Inflatable001-BlackSanta4feet,1,CR-SWITCHEROO
DS197-UglySweater-M,1,AMZ-PG-APP-STYLE
LolaSleepSet-WB1787-69-S,1,CR-UNWANTED_ITEM
uglysweater60-XXL,1,CR-SWITCHEROO
TheSandlotUCS-Red-XXL,1,AMZ-PG-APP-TOO-LARGE
sein023-XXL,1,AMZ-PG-APP-TOO-LARGE
DS197-UglySweater-L,1,DID_NOT_LIKE_COLOR
starwars168-3X,1,AMZ-PG-APP-TOO-SMALL
220079-SharkChubSuitBlue-Adult,1,DID_NOT_LIKE_FABRIC
1170-RSWigEyebrown,1,DID_NOT_LIKE_FABRIC
DS197-UglySweater-3XL,1,AMZ-PG-APP-TOO-SMALL
