SKU,Quantity,Reason
HJCO2021-HootersCostumeSet-M,1,AMZ-PG-APP-TOO-SMALL
WB1622-HarleyChemiseDress-S,1,CR-FOUND_BETTER_PRICE
chubsuitcostume002-black,1,CR-UNWANTED_ITEM
220759-BLUE-DetectiveBLUEShirt1-S,1,AMZ-PG-BAD-DESC
WB1622-HarleyChemiseDress-XS,1,CR-UNWANTED_ITEM
220839-SashFlag,1,CR-UNWANTED_ITEM
BretHitmanSunglasses,1,AMZ-PG-BAD-DESC
starwars129-S,1,AMZ-PG-APP-TOO-SMALL
prettywomandress,1,AMZ-PG-APP-TOO-LARGE
220839-SashFlag,1,CR-DAMAGED_BY_FC
220780-TigerKingJacket-L,1,CR-MISSED_ESTIMATED_DELIVERY
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-TOO-SMALL
superherocape002ADULTblk-red,1,AMZ-PG-APP-TOO-SMALL
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,CR-UNWANTED_ITEM
RavenclawRobe-HP0285-S/M,1,AMZ-PG-APP-TOO-LARGE
RavenclawRobe-HP0285-L/XL,1,AMZ-PG-APP-TOO-SMALL
RiverdaleTankSkirtSet-WR0345-69-L,1,AMZ-PG-APP-TOO-LARGE
LolaSleepSet-WB1787-69-S,1,AMZ-PG-APP-TOO-LARGE
leagueoftheirowncostume-S/Mdeluxe,1,CR-UNWANTED_ITEM
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
incredhulk006-XL,1,DID_NOT_LIKE_FABRIC
BoxingRobe-Blue,1,CR-MISSED_ESTIMATED_DELIVERY
KillingJokeWig-1204,1,AMZ-PG-APP-TOO-SMALL
SheriffWoodyBadge,1,CR-UNWANTED_ITEM
TSM20002TV-WoodyBelt-S,1,CR-UNWANTED_ITEM
bigl032-L,1,AMZ-PG-APP-TOO-LARGE
runningshorts001YELLOW-L-XL,1,DID_NOT_LIKE_COLOR
blowupguitar,1,CR-MISSED_ESTIMATED_DELIVERY
machomanbandana-Red,1,AMZ-PG-APP-STYLE
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
beautybeast001-L-XL,1,CR-UNWANTED_ITEM
dodgeball003-XS,1,CR-UNWANTED_ITEM
tmntsocks003-Mike,1,AMZ-PG-APP-TOO-SMALL
BoxingRobe-Black,1,CR-UNWANTED_ITEM
insideoutjoywig,1,CR-MISSED_ESTIMATED_DELIVERY
CowgirlShirt-204051-M,1,AMZ-PG-APP-TOO-LARGE
waldocostumeDELUXE-XL,1,CR-UNWANTED_ITEM
starwars164-S,1,AMZ-PG-APP-TOO-SMALL
rockyshorts-M,1,AMZ-PG-APP-TOO-SMALL
rockyrobe2,1,AMZ-PG-APP-TOO-SMALL
suicidesquad004-XL,1,CR-DEFECTIVE
ShortSleeve-SpenglerTee-M,1,AMZ-PG-APP-TOO-SMALL
A9031-32-MinnieBodysuitSkirtSet-L,1,AMZ-PG-APP-TOO-SMALL
dodgeball003-XL,1,CR-UNWANTED_ITEM
alanbabycarriercostume,1,DID_NOT_LIKE_FABRIC
204073-PresidentPedroShirt-XXL,1,CR-UNWANTED_ITEM
A9031-32-MinnieBodysuitSkirtSet-M,1,AMZ-PG-APP-TOO-SMALL
machomanbandana-Red,1,CR-MISSED_ESTIMATED_DELIVERY
dodgeball003-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
bobsburgersbeanie001,1,AMZ-PG-APP-TOO-LARGE
220757-AverageJoesWomensSet-XL,1,CR-MISSED_ESTIMATED_DELIVERY
220757-AverageJoesWomensSet-2XL,1,CR-MISSED_ESTIMATED_DELIVERY
juno003-L,1,DID_NOT_LIKE_FABRIC
scarfaceglasses001,1,CR-QUALITY_UNACCEPTABLE
suicidesquad004-2X,1,AMZ-PG-APP-TOO-SMALL
WoodyLongSleeveAdultShirt-XL,1,AMZ-PG-APP-TOO-LARGE
100980-TheQueenMusicBeltArmband,1,CR-UNAUTHORIZED_PURCHASE
superherocape002ADULTgold-red,1,CR-DEFECTIVE
toystory006-S,1,CR-ORDERED_WRONG_ITEM
woodycostumeshirt-L-XL,1,AMZ-PG-APP-TOO-LARGE
TSM20002TV-WoodyBelt-M,1,AMZ-PG-APP-STYLE
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-LARGE
waldocostumeDELUXE-M,1,CR-FOUND_BETTER_PRICE
TweetySleepSet-WB1785-69-S,1,AMZ-PG-APP-TOO-SMALL
WoodyLongSleeveAdultShirt-3XL,1,AMZ-PG-APP-TOO-LARGE
204073-PresidentPedroShirt-S,1,AMZ-PG-APP-TOO-LARGE
pedrosanchez-Kit,1,CR-MISSING_PARTS
chubsuitcostume002-black,1,CR-UNWANTED_ITEM
ninjanogginmask-darkgreen,1,DID_NOT_LIKE_COLOR
woodycostumeshirt-L-XL,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,CR-UNWANTED_ITEM
