SKU,Quantity,Reason
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
bigl012-XL,1,AMZ-PG-APP-TOO-LARGE
bigl012-M,1,AMZ-PG-APP-TOO-LARGE
bigl012-S,1,AMZ-PG-APP-TOO-LARGE
greatest002-L,1,AMZ-PG-APP-TOO-SMALL
avatar001-S,1,AMZ-PG-APP-TOO-SMALL
220781-MeanGirlsSantaCostume-S,1,AMZ-PG-APP-TOO-SMALL
fearloathingglasses,1,CR-UNWANTED_ITEM
stepbros010-M,1,AMZ-PG-APP-STYLE
ImperialOfficerCap-ECSW2060TV-Black,1,CR-UNWANTED_ITEM
plumtree001-M,1,AMZ-PG-APP-TOO-SMALL
plumtree001-M,1,AMZ-PG-APP-TOO-SMALL
juno003-M,1,CR-UNWANTED_ITEM
jerseyshoreglasses,1,AMZ-PG-BAD-DESC
richardsimmons001-L-XL,1,AMZ-PG-APP-TOO-SMALL
RickMortyPicklePants-RM0242-52-S,1,AMZ-PG-APP-TOO-SMALL
CowgirlShirt-204051-XL,1,CR-DEFECTIVE
220660pklxl,1,AMZ-PG-APP-TOO-LARGE
220660pksm,1,DID_NOT_LIKE_COLOR
220077-HotDogChubSuit-Teen,1,CR-MISSED_ESTIMATED_DELIVERY
oktoberfestlederhosenPANTS-34,1,AMZ-PG-APP-TOO-LARGE
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM
WB1658-WB1659-WonderWomanCostumeSet-L,1,CR-UNWANTED_ITEM
starwars129-XL,1,CR-MISSED_ESTIMATED_DELIVERY
ImperialOfficerCap-ECSW2060TV-Black,1,DID_NOT_LIKE_FABRIC
biglpants001-XL,1,AMZ-PG-APP-TOO-SMALL
HufflepuffRobe-HP0286-2X/3X,1,DID_NOT_LIKE_FABRIC
monstersinc003-7/8,1,AMZ-PG-APP-TOO-SMALL
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-APP-TOO-SMALL
hulkbgold,1,CR-MISSED_ESTIMATED_DELIVERY
plumtree001-XXL,1,AMZ-PG-APP-TOO-SMALL
bigl032-XXXL,1,CR-UNWANTED_ITEM
102026-InfOrnament-25-Gold,6,CR-UNWANTED_ITEM
ateam001-XL,1,DID_NOT_LIKE_FABRIC
superherocape002ADULTgold-red,1,CR-UNWANTED_ITEM
100566-RonBurgundyRobe,1,DID_NOT_LIKE_FABRIC
sundrop001-L,1,AMZ-PG-APP-TOO-SMALL
topgun014-S,1,AMZ-PG-APP-STYLE
topgun014-L,1,AMZ-PG-APP-STYLE
ImperialOfficerCap-ECSW2060TV-Black,1,DID_NOT_LIKE_COLOR
paul001-M,1,AMZ-PG-APP-TOO-SMALL
super068-XXL,1,AMZ-PG-APP-TOO-LARGE
karatekidcobrakaidlxcostume-Deluxe,1,CR-MISSED_ESTIMATED_DELIVERY
woodylongsleeveadultshirt-4XL,1,CR-QUALITY_UNACCEPTABLE
ledzeppelin002-XXL,1,AMZ-PG-APP-TOO-LARGE
220072-USAChubSuit-Adult,1,CR-DEFECTIVE
PowerRangers-Red-SLShirt-L,1,AMZ-PG-APP-TOO-SMALL
220743-FlintTropicsSHORTS-L/XL,1,AMZ-PG-APP-TOO-SMALL
heavyweights001-S,1,AMZ-PG-APP-TOO-SMALL
PowerRangers-Yellow-SLShirt-S,1,AMZ-PG-APP-TOO-SMALL
DodgeballCobrasCostumeSet-3XL,1,CR-SWITCHEROO
220795-RiddlerTie,1,CR-UNWANTED_ITEM
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-STYLE
100980-TheQueenMusicBeltArmband,1,AMZ-PG-BAD-DESC
