"SKU","Quantity"
"boratthong",518
"SecretStuffWaterBottle-FBA",472
"SecretStuffWaterBottle",472
"tmnteyemaskset-FBA",440
"tmnteyemaskset",440
"soahat005-FBA-L/XL",431
"soahat005-L/XL",431
"6695057-yellowstoneBeltBuckle",357
"6695057-yellowstoneBeltBuckle-FBA",357
"PeepholeFrame-FBA",338
"PeepholeFrame",338
"fearloathingglasses-FBA",299
"fearloathingglasses",299
"220844-BoxingRobeKids-Blk",288
"soahat005-FBA-S/M",263
"soahat005-S/M",263
"TMNTShirt-Youth-Leonardo-XS",231
"ElvisGlasses001-Silver-FBA",229
"ElvisGlasses001-Silver",229
"biglpants001-FBA-XL",219
"biglpants001-XL",219
"QF009BBSTV-BlueyPajamas-4",217
"QF009BBSTV-BlueyPajamas-FBA-4",217
"biglpants001-L",204
"biglpants001-FBA-L",204
"sharkcostume-FBA-XXL",193
"sharkcostume-XXL",193
"simpsonsduffhat",184
"scarfaceglasses001",180
"rockyrobe1",166
"rockyrobe1-FBA",166
"ApolloShorts-FBA-L",165
"ApolloShorts-L",165
"TMNTShirt-Youth-Raphael-XS",163
"sexpanthercologne003",161
"220965-GhostSpiderOnesie-5-6",159
"caddyshackhat003",154
"QF009BBSTV-BlueyPajamas-FBA-3T",152
"QF009BBSTV-BlueyPajamas-3T",152
"ImperialOfficerCap-ECSW2060TV-Olive",148
"ricflare001-pink",142
"acwig",142
"TMNTShirt-Youth-Leonardo-S",140
"BretHitmanSunglasses",140
"machomanbandana-Red",139
"machomanbandana-Red-FBA",139
"biglpants001-M",135
"biglpants001-FBA-M",135
"GBXX22KBNP-Ghostbusters-M",131
"ApolloShorts-FBA-M",129
"ApolloShorts-M",129
"RetroWigHeadband-1191",128
"TMNTShirt-Youth-Raphael-S",125
"jokercards",125
"hangoverglasses",125
"hangoverglasses-FBA",125
"220846-BoxingRobeKids-Flag",123
"blowupguitar",122
"BoxingRobe-Black",121
"BoxingRobe-Black-FBA",121
"6665611-yellowstoneTruckerHat",120
"officedundie",118
"220965-GhostSpiderOnesie-3-4",117
"ApolloShorts-XL",116
"ApolloShorts-FBA-XL",116
"ETPK1021TS-kylebeanie",115
"100600-BlueVikingHelmet",115
"ETPK1021TS-kylebeanie-FBA",115
"biglpants001-XXL",114
"biglpants001-FBA-2XL",114
"1147-BeastWigandBeard",113
"CheeseburgerBackPack",113
"stepbros010-FBA-XL",113
"stepbros010-XL",113
"leagueoftheirowncostume-L/XL",111
"leagueoftheirowncostume-FBA-L/XL",111
"flintsweatbands",110
"220941-GhostbustersGlovesBeltSet",109
"100578BLACK-M",108
"hangoversatchel-FBA",107
"hangoversatchel",107
"btlc004-L",105
"TMNTShirt-Youth-Donatello-XS",104
"100980-TheQueenBeltArmband-FBA",103
"100980-TheQueenMusicBeltArmband",103
"TMNTShirt-Youth-Mike-XS",102
"TMNTShirt-Youth-Mike-S",101
"waldocostumeDELUXE-FBA-L",101
