SKU,Quantity,Reason
103015-BabyCarlosDollGlasses,1,AMZ-PG-APP-TOO-SMALL
powerrangers018red-18/24,1,AMZ-PG-BAD-DESC
mm003JRSred-XL,1,AMZ-PG-APP-TOO-SMALL
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-SMALL
hangover014-XL,1,DID_NOT_LIKE_COLOR
suicidesquad004-L,1,AMZ-PG-APP-TOO-SMALL
220929-LucyDressAdult-XL,1,CR-DEFECTIVE
GloboGymNecklace,1,CR-SWITCHEROO
QF009BBSTV-BlueyPajamas-6,1,AMZ-PG-BAD-DESC
powerrangers018pink-12/18,2,DID_NOT_LIKE_FABRIC
220965-GhostSpiderOnesie-5-6,1,CR-UNWANTED_ITEM
220965-GhostSpiderOnesie-7-8,1,CR-UNWANTED_ITEM
220965-GhostSpiderOnesie-2T,2,CR-UNWANTED_ITEM
tmnt016-Don-Mens-M,1,CR-MISSED_ESTIMATED_DELIVERY
220752-RockfordPeachesMENS-L/XL,1,AMZ-PG-APP-TOO-SMALL
wizardozsocks002,1,AMZ-PG-APP-TOO-LARGE
hulk001-XXL,1,AMZ-PG-APP-TOO-LARGE
starwars129-M,1,AMZ-PG-APP-TOO-SMALL
SNL007tan-L,1,AMZ-PG-APP-TOO-SMALL
220077-HotDogChubSuit-Adult,1,CR-UNWANTED_ITEM
VAWX2011-MooseHat,1,DID_NOT_LIKE_FABRIC
ATeam002-L,1,AMZ-PG-APP-TOO-SMALL
100576BLACK-S,1,AMZ-PG-APP-TOO-SMALL
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-SMALL
suicidesquad003-S,1,CR-UNWANTED_ITEM
BuckyZombieWig-1221,2,CR-UNWANTED_ITEM
tmnteyemaskset,1,CR-UNWANTED_ITEM
220744-AhoySailorCostume-MENS-XS,1,AMZ-PG-APP-TOO-LARGE
UltimateWrestlerWig-1212,1,AMZ-PG-APP-TOO-LARGE
