SKU,Quantity,Reason
ricflare001-yellow,1,AMZ-PG-APP-TOO-SMALL
mm001Nblu-L,1,CR-ORDERED_WRONG_ITEM
WuTangLoungePants-LN0010-52-M,1,AMZ-PG-APP-TOO-SMALL
dodgeball003-L,1,AMZ-PG-APP-TOO-SMALL
220660bklxl,1,AMZ-PG-APP-TOO-SMALL
wildthingscostume001-XS,1,AMZ-PG-APP-TOO-SMALL
204092-RainbowCardigan-L,1,CR-UNWANTED_ITEM
scottpilgrim004-L,1,CR-UNWANTED_ITEM
plumtree001-XL,1,AMZ-PG-APP-TOO-SMALL
TMNTShirt-Youth-Donatello-XS,1,AMZ-PG-APP-TOO-SMALL
mash003-XL,1,CR-DEFECTIVE
mm003JRSgreen-XXL,1,DID_NOT_LIKE_COLOR
100950-CowboyChaps1,1,CR-ORDERED_WRONG_ITEM
beaviscostume-XL,1,CR-UNWANTED_ITEM
220885-KennyCostume-M,1,CR-UNAUTHORIZED_PURCHASE
204092-RainbowCardigan-L,1,CR-FOUND_BETTER_PRICE
stepbros010-S,1,CR-UNWANTED_ITEM
bigbang042lightblue-L,1,AMZ-PG-APP-TOO-LARGE
sbb015n-XXL,1,AMZ-PG-APP-TOO-LARGE
PowerRangers-Pink-SLShirt-L,1,AMZ-PG-APP-TOO-LARGE
1159-DeluxeVikingWigBeardSetBrown,1,AMZ-PG-APP-TOO-LARGE
nwo001-XXL,1,AMZ-PG-APP-TOO-LARGE
suicidesquad004-M,1,AMZ-PG-APP-TOO-LARGE
mash003-XL,1,AMZ-PG-APP-TOO-LARGE
powerrangers015blue-M,1,AMZ-PG-APP-TOO-SMALL
rockyshorts-M,1,AMZ-PG-APP-TOO-LARGE
M&M-Green-ADULT-Shirt-M,1,AMZ-PG-APP-TOO-LARGE
6695057-yellowstoneBeltBuckle,1,CR-UNWANTED_ITEM
bigl032-M,1,AMZ-PG-APP-TOO-SMALL
sbb015-L,1,AMZ-PG-APP-TOO-SMALL
mm003JRSgreen-L,1,AMZ-PG-BAD-DESC
mm003JRSgreen-L,1,AMZ-PG-BAD-DESC
M&M-Orange-ADULT-Shirt-2XL,1,AMZ-PG-APP-TOO-LARGE
hulk003-M,1,CR-DEFECTIVE
