SKU,Quantity,Reason
TMNTShirt-Youth-Mike-XS,1,AMZ-PG-APP-TOO-SMALL
3001-White-ChampionShirt-M,1,AMZ-PG-APP-TOO-SMALL
RacineBellsCostumeDressWomens-L/XL,1,CR-DEFECTIVE
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
captamerica038-L,1,AMZ-PG-APP-TOO-SMALL
103011-ChuckyKidsShoes-9-10,1,CR-ORDERED_WRONG_ITEM
ghost023-XL,1,CR-DEFECTIVE
tmnt016-Leo-Mens-XS,1,CR-UNWANTED_ITEM
M&M-Yellow-JUNIORS-Shirt-L,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-SY,1,CR-DEFECTIVE
starwars164-M,1,AMZ-PG-APP-TOO-SMALL
QF009BBSTV-BlueyPajamas-6,1,AMZ-PG-APP-TOO-SMALL
GhostbustersDress-25KHA-M,1,CR-SWITCHEROO
TMNTShirt-Youth-Leonardo-S,1,AMZ-PG-APP-TOO-LARGE
tmnt056Mike-XL,1,CR-UNWANTED_ITEM
minniemouseaccessory-pink,1,CR-UNWANTED_ITEM
suicidesquad003-M,1,CR-UNWANTED_ITEM
powerrangerssweatshirtGreen-L,1,AMZ-PG-APP-TOO-LARGE
TMNTShirt-Youth-Donatello-L,1,CR-SWITCHEROO
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-LARGE
YellowHulkGlasses,1,CR-UNWANTED_ITEM
redboa001N,1,AMZ-PG-APP-STYLE
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-SMALL
tmnt047tankdressMike-S,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
LolaSleepSet-WB1787-69-S,1,AMZ-PG-APP-STYLE
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM
WoodyLongSleeveAdultShirt-XXL,1,AMZ-PG-APP-TOO-SMALL
machomanbandana-Red,1,CR-FOUND_BETTER_PRICE
nap027-M,1,CR-FOUND_BETTER_PRICE
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-SMALL
100578BLACK-M,1,AMZ-PG-APP-TOO-SMALL
tmnt016-Mike-Mens-XS,1,AMZ-PG-APP-TOO-LARGE
sbb015-L,1,AMZ-PG-APP-STYLE
220929-LucyDressAdult-3XL,1,CR-DEFECTIVE
tmntmasks-Red,1,CR-UNWANTED_ITEM
tmntmasks-Orange,1,CR-UNWANTED_ITEM
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-SMALL
GreenMonsterSuit-Mask1-L-XL,1,CR-ORDERED_WRONG_ITEM
tmnt045Don-XS,1,AMZ-PG-APP-TOO-LARGE
mm001Norg-XXL,1,CR-UNWANTED_ITEM
TMNTShirt-Youth-Leonardo-L,1,AMZ-PG-APP-TOO-LARGE
tmntmasks-Red,1,CR-MISSED_ESTIMATED_DELIVERY
220793-MartyShirt-L,1,DID_NOT_LIKE_COLOR
rickmortyONESIE001-M,1,AMZ-PG-APP-TOO-SMALL
oktoberfestlederhosenSHORTS-40,1,CR-UNWANTED_ITEM
tmntmasks-Purple,1,AMZ-PG-APP-TOO-SMALL
