SKU,Quantity,Reason
103012-MooseMug-1pack,1,CR-MISSED_ESTIMATED_DELIVERY
KRSM2011-KrampusSweater-XXL,2,AMZ-PG-APP-TOO-LARGE
6665611-yellowstoneTruckerHat,1,CR-UNWANTED_ITEM
220834-GriswoldTie,1,CR-UNWANTED_ITEM
RMSM3847-RickMortyHolidayPartyUCS-L,1,AMZ-PG-APP-TOO-SMALL
ElfLoungePants-WR0322-52-M,1,AMZ-PG-APP-TOO-SMALL
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-SMALL
mm003JRSyellow-M,1,AMZ-PG-APP-TOO-SMALL
mm003JRSblue-M,1,AMZ-PG-APP-TOO-SMALL
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE
WR0232-52-HogTheNogPants-XL,1,CR-DEFECTIVE
sharkcostume-XXL,1,CR-UNWANTED_ITEM
267345-GrinchPJPants-2XL,1,AMZ-PG-APP-TOO-SMALL
boratthong,1,CR-UNWANTED_ITEM
uglysweater44-4XL,1,AMZ-PG-APP-TOO-SMALL
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
TMNTShirt-Youth-Leonardo-M,1,CR-DEFECTIVE
suitpajamas001purple-M,1,CR-UNWANTED_ITEM
CCXX-CokePolarBearUCS-3XL,1,AMZ-PG-APP-TOO-SMALL
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-LARGE
NSPH3266-NarutoPajamas,1,CR-DEFECTIVE
CousinEdRobe-Hat-SET,1,CR-UNWANTED_ITEM
ferris010-M,1,AMZ-PG-APP-TOO-LARGE
BQBW3939TV-BobsBurgersFleece-3XL,1,AMZ-PG-APP-TOO-SMALL
220899-MarvCostume-M,1,CR-SWITCHEROO
sbb016-L,1,AMZ-PG-APP-TOO-LARGE
waldocostumeDELUXE-M,1,CR-DAMAGED_BY_FC
uglysweater44-XXL,1,AMZ-PG-APP-TOO-SMALL
PMPO0LSMNK-PokePikaPants-L,1,CR-UNWANTED_ITEM
TheSandlotUCS-Red-XL,1,AMZ-PG-APP-TOO-LARGE
ILoveXmasUCS-XL,1,AMZ-PG-APP-STYLE
acwig,1,DID_NOT_LIKE_FABRIC
sbtbslaterjersey-L,1,AMZ-PG-BAD-DESC
sbtbslaterjersey-M,1,AMZ-PG-APP-TOO-SMALL
CVSM2258-MooseHead-2X,1,CR-MISSED_ESTIMATED_DELIVERY
PABR029-PabstSweater-2XL,1,CR-UNWANTED_ITEM
simpsonsduffhat,1,AMZ-PG-APP-TOO-SMALL
starskyhutch001-XXXL,1,AMZ-PG-APP-TOO-SMALL
simpsonsduffhat,1,AMZ-PG-APP-TOO-SMALL
RWTM09-BabyYodaUCS-3XL,1,AMZ-PG-APP-TOO-SMALL
S8SM2074TV-ScarfaceSweater-XL,1,CR-MISSED_ESTIMATED_DELIVERY
CY034-ChristmasStoryUnionSuit-S,1,AMZ-PG-APP-TOO-SMALL
bigl012-L,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-4XL,1,AMZ-PG-APP-TOO-SMALL
ArthurChristmasUCS-L,1,AMZ-PG-APP-TOO-LARGE
K4SM2101TV-COBRAKAI-4XL,1,CR-UNWANTED_ITEM
RMSA3879TV-RickMortyPants-M,1,AMZ-PG-APP-TOO-LARGE
RickMortyPicklePants-RM0242-52-L,1,AMZ-PG-APP-TOO-LARGE
CCXX23IMNP-CokeBearSnow-L,1,AMZ-PG-APP-TOO-SMALL
FilthyAnimalLoungePants-XF003-L,1,AMZ-PG-APP-TOO-LARGE
220901-FreshPrinceCostume-L,1,CR-UNWANTED_ITEM
220901-FreshPrinceCostume-S,1,CR-UNWANTED_ITEM
ucs3d002-XS,1,CR-UNWANTED_ITEM
220888-ToddMargoShinySuit-XXL,2,CR-MISSED_ESTIMATED_DELIVERY
starwars168-M,1,AMZ-PG-APP-TOO-SMALL
220836-ClarkSanta-L/XL,1,AMZ-PG-BAD-DESC
DS197-UglySweater-XXL,1,AMZ-PG-APP-TOO-SMALL
NL029-ChristmasVacationPajamaSet-M,1,AMZ-PG-APP-TOO-SMALL
FilthyAnimalLoungePants-XF003-XL,1,CR-QUALITY_UNACCEPTABLE
starwars168-3X,1,AMZ-PG-APP-TOO-SMALL
103012-MooseMug-1pack,1,CR-DEFECTIVE
heavyweights001LONGsleeve-XL,1,CR-UNWANTED_ITEM
GDSA2851TV-GratDeadPants-2XL,1,AMZ-PG-BAD-DESC
220794-CousinEddieSuit-M,1,CR-UNWANTED_ITEM
3DTRexUCS-L,1,AMZ-PG-APP-TOO-LARGE
starwars168-L,1,AMZ-PG-APP-TOO-SMALL
1DadSlide-Black-9,1,AMZ-PG-APP-TOO-SMALL
ChristmasSocks-Trump3DHair,1,AMZ-PG-APP-TOO-SMALL
ferris008green-M,1,AMZ-PG-APP-TOO-SMALL
100581-CousinEddieShoe-9,1,CR-UNWANTED_ITEM
drseuss011-XXL,1,AMZ-PG-APP-STYLE
CVSM2258-MooseHead-2X,1,AMZ-PG-APP-TOO-SMALL
CousinEdRobe-Hat-SET,1,CR-UNWANTED_ITEM
RWTM23KMNP-BabyYodaSoupPants-S,1,CR-SWITCHEROO
CY034-ChristmasStoryUnionSuit-L,1,CR-UNWANTED_ITEM
B3SA2051TV-BobRossPants-M,1,CR-QUALITY_UNACCEPTABLE
102027-InfOrnament-15-Silver,1,CR-MISSED_ESTIMATED_DELIVERY
CY034-ChristmasStoryUnionSuit-L,1,CR-MISSED_ESTIMATED_DELIVERY
SNL007tan-XXL,1,AMZ-PG-APP-TOO-SMALL
powerrangerssweatshirtBlue-XXXL,1,DID_NOT_LIKE_COLOR
ElfLoungePants-WR0322-52-XL,2,AMZ-PG-APP-TOO-SMALL
RWTM23NMN2-XmasYodaPJSet-M,1,AMZ-PG-APP-TOO-LARGE
MGB068MARA-GhostbusterCardigan-3XL,1,AMZ-PG-APP-TOO-LARGE
3DHumpingReindeerUCS-L,1,AMZ-PG-APP-TOO-LARGE
CVGriswoldLoungePants-WR0319-52-M,1,AMZ-PG-APP-TOO-SMALL
3DHumpingReindeerUCS-L,1,AMZ-PG-APP-TOO-LARGE
WuTangUnionSuit-LN0011-XL,1,AMZ-PG-APP-TOO-SMALL
ILoveXmasUCS-M,1,CR-DEFECTIVE
SHero-50x60Silktouch-Anna,1,CR-DEFECTIVE
PMPO0LSMNK-PokePikaPants-S,1,AMZ-PG-APP-TOO-LARGE
CVGriswoldLoungePants-WR0319-52-L,2,CR-SWITCHEROO
66634105-YellowStoneJacket-2XL,1,AMZ-PG-APP-TOO-SMALL
drwhokigurumi001,1,AMZ-PG-APP-STYLE
220823-PinkBunny-KIDS-7/8,1,CR-MISSED_ESTIMATED_DELIVERY
WR0232-52-HogTheNogPants-M,1,CR-MISSED_ESTIMATED_DELIVERY
ElfSantaUCS-ELSM2301-3XL,1,AMZ-PG-APP-TOO-LARGE
workaholicscostume001,1,AMZ-PG-APP-TOO-SMALL
CCXX-CokePolarBearUCS-XL,1,AMZ-PG-APP-TOO-SMALL
ILoveXmasUCS-4XL,1,AMZ-PG-APP-TOO-SMALL
uglysweater57-XXL,1,CR-SWITCHEROO
LegLampRedPants-WR0314-52-L,1,AMZ-PG-APP-TOO-LARGE
267345-GrinchPJPants-L,1,AMZ-PG-APP-TOO-LARGE
DSSCCXYBNP-HoHoHoPants-109-XXL,1,DID_NOT_LIKE_FABRIC
uglysweater13-M,1,AMZ-PG-APP-TOO-LARGE
PABR029-PabstSweater-3XL,1,AMZ-PG-APP-TOO-SMALL
uglysweater60-L,1,CR-UNWANTED_ITEM
drseuss011-XXL,1,AMZ-PG-APP-TOO-LARGE
102027-InfOrnament-15-Green,2,CR-UNWANTED_ITEM
uglysweater44-XXL,1,AMZ-PG-APP-TOO-SMALL
starwars168-2X,1,AMZ-PG-APP-TOO-SMALL
christmasvaca004-L,1,CR-UNWANTED_ITEM
DSSCCYNMLC-MickeyWool-2XL,1,CR-SWITCHEROO
PickleRickUCS-RMSM2647-M,1,AMZ-PG-APP-STYLE
204292-DeerRingSweater-XL,1,AMZ-PG-APP-STYLE
3DTRexUCS-XXL,1,AMZ-PG-APP-TOO-LARGE
ILoveXmasUCS-M,1,CR-DEFECTIVE
bigl012-XL,1,AMZ-PG-APP-TOO-SMALL
DSSCDRA-MickeyHeadsHoliday-S,1,AMZ-PG-APP-TOO-LARGE
DSSCDRA-MickeyHeadsHoliday-2XL,1,AMZ-PG-APP-TOO-LARGE
220718-PandaFlappySuit1-6/7,1,CR-EXTRA_ITEM
KRSM2011-KrampusSweater-L,1,CR-QUALITY_UNACCEPTABLE
hungergamesjacket-XXL,1,CR-ORDERED_WRONG_ITEM
gasmonkeyhat001,1,CR-UNWANTED_ITEM
BQBW3939TV-BobsBurgersFleece-XL,1,AMZ-PG-APP-TOO-LARGE
Futurama003-XXL,1,AMZ-PG-APP-TOO-LARGE
DSTS26LGS-BuzzLightyearJuniotsTshirt-XXL,1,AMZ-PG-APP-TOO-SMALL
CVGriswoldLoungePants-WR0319-52-L,1,AMZ-PG-APP-TOO-SMALL
flocostume001,1,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-SMALL
starwars168-3X,1,AMZ-PG-APP-TOO-SMALL
HenryDangerSet-BLLTV-8,1,AMZ-PG-APP-TOO-SMALL
FilthyAnimalLoungePants-XF003-M,1,CR-QUALITY_UNACCEPTABLE
AMZTVSO-Robot-3600-HEAVYMETAL-XL,1,DID_NOT_LIKE_FABRIC
204187-FlappyDogSweater-XXL,1,CR-DEFECTIVE
103018-CousinEddieOrangeHose,1,CR-MISSED_ESTIMATED_DELIVERY
ElfBuddyUnionSuit-WR0297-M,1,AMZ-PG-APP-TOO-SMALL
bigl020-XL,1,AMZ-PG-APP-TOO-LARGE
62RBL-MerryKrampusUCS-L,1,AMZ-PG-APP-TOO-LARGE
204292-DeerRingSweater-S,1,CR-MISSED_ESTIMATED_DELIVERY
B3SM2058TV-BOBROSS-L,1,AMZ-PG-APP-TOO-SMALL
RMSM3847-RickMortyHolidayPartyUCS-L,1,AMZ-PG-APP-TOO-SMALL
RWTM23BMN-BabyYodaPants-L,1,AMZ-PG-APP-TOO-LARGE
267345-GrinchPJPants-L,1,CR-UNWANTED_ITEM
suitpajamas001black-XXL,1,AMZ-PG-APP-STYLE
CVGriswoldLoungePants-WR0319-52-L,1,AMZ-PG-APP-STYLE
UFSM2083TV-PULPFICTION-2XL,1,AMZ-PG-BAD-DESC
nwo003-L,1,CR-MISSED_ESTIMATED_DELIVERY
drseuss027thing1-XXL,1,CR-UNWANTED_ITEM
drseuss027thing1-M,1,CR-UNWANTED_ITEM
alsunny022-L,1,CR-UNWANTED_ITEM
QF009BBSTV-BlueyPajamas-3T,1,CR-DEFECTIVE
hulk001ym,1,CR-MISSED_ESTIMATED_DELIVERY
267345-GrinchPJPants-2XL,1,DID_NOT_LIKE_COLOR
metallica003-M,1,AMZ-PG-APP-TOO-SMALL
hulk001yred-S,1,CR-MISSED_ESTIMATED_DELIVERY
GBXX22KBNP-Ghostbusters-L,1,CR-UNWANTED_ITEM
S8SM2074TV-ScarfaceSweater-3XL,1,AMZ-PG-APP-TOO-SMALL
ElfBuddyUnionSuit-WR0297-XL,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-LARGE
ElfLoungePants-WR0322-52-XL,1,CR-MISSED_ESTIMATED_DELIVERY
uglysweater44-XL,1,AMZ-PG-APP-TOO-LARGE
6665611-yellowstoneTruckerHat,2,CR-UNWANTED_ITEM
ucs3d001-L,1,DID_NOT_LIKE_COLOR
biglpants001-L,1,AMZ-PG-APP-TOO-SMALL
drseuss011-XXL,1,AMZ-PG-APP-TOO-SMALL
ChristmasSocks-FilthyAnimal-100751,1,CR-DAMAGED_BY_CARRIER
K4SM2101TV-COBRAKAI-M,1,AMZ-PG-APP-TOO-SMALL
66634105-YellowStoneJacket-3XL,1,AMZ-PG-APP-TOO-SMALL
hangoversatchel,1,AMZ-PG-BAD-DESC
uglysweater45-S,2,DID_NOT_LIKE_COLOR
uglysweater13-S,1,CR-SWITCHEROO
starwars168-L,1,AMZ-PG-APP-TOO-SMALL
220917-OldSpiceJumpsuit-L,1,CR-UNWANTED_ITEM
TheSandlotUCS-Red-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
uglysweater13-M,1,AMZ-PG-APP-TOO-LARGE
