SKU,Quantity,Reason
1161-DeluxeVikingWigBeardSetBlonde,1,DID_NOT_LIKE_FABRIC
hulkhogancostumesetYELsunYELban-XL,1,AMZ-PG-APP-TOO-LARGE
BretHitmanSunglasses,1,AMZ-PG-APP-TOO-LARGE
wrestlingboots-LY,1,AMZ-PG-APP-TOO-LARGE
SquidGameSuit-RED-Square-M,1,CR-MISSING_PARTS
tootsierolltankdress-S,1,AMZ-PG-APP-TOO-SMALL
suicidesquad004-2X,1,AMZ-PG-APP-TOO-SMALL
CowgirlShirt-204051-L,1,CR-MISSED_ESTIMATED_DELIVERY
BuzzLightYearLongSleeveAdultShirt-M,1,CR-QUALITY_UNACCEPTABLE
suitpajamas001black-XL,1,AMZ-PG-APP-TOO-SMALL
suitpajamas001black-L,1,AMZ-PG-APP-TOO-SMALL
DSSCCXYBNP-HoHoHoPants-S,1,AMZ-PG-APP-TOO-SMALL
BEA027-BeatlesChristmasSweater-XL,1,AMZ-PG-BAD-DESC
ILoveXmasUCS-XS,1,AMZ-PG-APP-TOO-LARGE
rockyrobesetDRAGO,1,CR-UNWANTED_ITEM
220843-ConeHead-Adult1,2,CR-MISSED_ESTIMATED_DELIVERY
CY034-ChristmasStoryUnionSuit-M,1,CR-MISSED_ESTIMATED_DELIVERY
hulkamaniawrestlingbelt-yellow,1,CR-MISSED_ESTIMATED_DELIVERY
204071-UncleRicoShirt-S,1,AMZ-PG-APP-TOO-SMALL
204071-UncleRicoShirt-M,1,AMZ-PG-APP-TOO-SMALL
ILoveXmasUCS-L,1,CR-DEFECTIVE
SquidGameSuit-GREEN-218-M,1,CR-DAMAGED_BY_FC
hulkhogancostumesetYELsunYELban-M,1,AMZ-PG-APP-STYLE
GBStantzLSTee-XL,1,AMZ-PG-APP-TOO-SMALL
GBVenkmansLSTee-XL,1,AMZ-PG-APP-TOO-SMALL
bigl032-L,1,AMZ-PG-BAD-DESC
tootsietankdressORANGE-S,1,CR-QUALITY_UNACCEPTABLE
ramonaflowerswig-Purple,1,AMZ-PG-APP-STYLE
GryffindorRobe-HP0283-XS,1,AMZ-PG-APP-TOO-LARGE
tootsietankdressORANGE-S,1,CR-QUALITY_UNACCEPTABLE
tootsietankdressORANGE-M,1,CR-QUALITY_UNACCEPTABLE
