SKU,Quantity,Reason
1152-WendyWig,1,CR-UNWANTED_ITEM
100576BLACK-XL,1,AMZ-PG-APP-TOO-LARGE
1152-WendyWig,1,CR-QUALITY_UNACCEPTABLE
hulk001-L,2,CR-UNWANTED_ITEM
christmasvaca011-L,1,AMZ-PG-APP-TOO-LARGE
220745-AhoySailorCostume-WOMENS-S/M,1,CR-UNWANTED_ITEM
acwig,1,CR-QUALITY_UNACCEPTABLE
oktoberfestlederhosenPANTS-34,1,AMZ-PG-APP-TOO-SMALL
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-LARGE
PowerRangers-Green-SLShirt-XL,1,AMZ-PG-APP-TOO-LARGE
A9249-MarvelDress-S,1,CR-UNWANTED_ITEM
ElvisGlasses001-Gold,1,AMZ-PG-APP-TOO-LARGE
sharkcostume-XXL,1,CR-UNWANTED_ITEM
20282-XXL,1,AMZ-PG-APP-TOO-LARGE
bvswwcostume-L,1,CR-UNWANTED_ITEM
220074-PenguinChubSuit-Teen,1,AMZ-PG-APP-TOO-LARGE
220834-GriswoldTie,1,AMZ-PG-BAD-DESC
fearandloathingcostumeset-XL,1,CR-SWITCHEROO
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-L,1,AMZ-PG-APP-TOO-SMALL
oktoberfestlederhosenPANTS-44,1,AMZ-PG-APP-TOO-LARGE
plumtree001-L,1,CR-MISSED_ESTIMATED_DELIVERY
220785-DumbDumber-ORNG-2XL,1,CR-DEFECTIVE
XO011MBSTV-TopGunPajamaSuit-XS,1,AMZ-PG-APP-TOO-LARGE
CowgirlShirt-204051-S,1,CR-MISSED_ESTIMATED_DELIVERY
arresteddapron,1,AMZ-PG-APP-STYLE
204089-ModernLife-XL,1,AMZ-PG-APP-TOO-LARGE
PowerRangers-Red-SLShirt-2XL,1,CR-UNWANTED_ITEM
220745-AhoySailorCostume-WOMENS-L/XL,1,AMZ-PG-BAD-DESC
hulk003-XXL,1,AMZ-PG-APP-STYLE
plumtree001-L,1,AMZ-PG-APP-TOO-SMALL
feltmasks-Red,1,AMZ-PG-APP-TOO-LARGE
QF009BBSTV-BlueyPajamas-3T,1,AMZ-PG-BAD-DESC
bvswwcostume-M,1,CR-DEFECTIVE
ricflare001-black,1,CR-DEFECTIVE
sesame034-6,1,AMZ-PG-APP-STYLE
204088-HopperHawaiianShirt-M,1,CR-QUALITY_UNACCEPTABLE
220786-LT-DumbDumber-BLUE-L,1,CR-UNWANTED_ITEM
220785-DumbDumber-ORNG-2XL,1,CR-UNWANTED_ITEM
legendstemplered-XXL,1,CR-UNWANTED_ITEM
usaboardshorts003-L,1,AMZ-PG-APP-TOO-SMALL
220850-ChuckieCostume-2T,1,CR-DAMAGED_BY_FC
ElvisGlasses001-Gold,1,AMZ-PG-APP-STYLE
fearloathingglasses,1,CR-UNWANTED_ITEM
CowgirlShirt-204051-XL,1,CR-DEFECTIVE
ApolloShorts-XL,1,CR-MISSED_ESTIMATED_DELIVERY
wonderwoman013-XL,1,AMZ-PG-APP-TOO-SMALL
tmntskater001raph-M,1,CR-UNWANTED_ITEM
blowupguitar,1,CR-SWITCHEROO
aerosmith002-M,1,AMZ-PG-APP-TOO-SMALL
220660gldsm,1,CR-QUALITY_UNACCEPTABLE
ninjanogginmask-green,1,DID_NOT_LIKE_COLOR
JLSN219-TuneSquadLOLA-XL,1,CR-UNWANTED_ITEM
204088-HopperHawaiianShirt-XL,1,AMZ-PG-APP-TOO-LARGE
CustomSublimationCape-Black,1,CR-MISSED_ESTIMATED_DELIVERY
204074-QuaggyGiggityShirt-XL,1,AMZ-PG-APP-TOO-LARGE
beautybeast001-L-XL,1,AMZ-PG-APP-TOO-SMALL
220077-HotDogChubSuit-Teen,1,CR-UNWANTED_ITEM
usaboardshorts003-S,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XL,1,CR-DEFECTIVE
DaleVest-L,1,CR-UNWANTED_ITEM
BrennanVest-M,1,CR-UNWANTED_ITEM
hulk001r-XXL,1,CR-UNWANTED_ITEM
btlc004-S,1,CR-UNWANTED_ITEM
4U9ML-ERNIE-CostumeShirt-L,1,AMZ-PG-APP-TOO-LARGE
aw004m-L,1,DID_NOT_LIKE_FABRIC
aw004m-XL,1,DID_NOT_LIKE_FABRIC
220621-youth,1,CR-SWITCHEROO
220745-AhoySailorCostume-WOMENS-S/M,1,CR-UNWANTED_ITEM
RMSM3878-RickMortyHoliday-S,1,AMZ-PG-APP-TOO-LARGE
rubiks002-M,1,AMZ-PG-APP-TOO-LARGE
BlondeDreadlocks-1229,1,AMZ-PG-BAD-DESC
100578BLACK-M,1,AMZ-PG-APP-TOO-SMALL
tmntskater001leo-S,1,AMZ-PG-APP-TOO-LARGE
tmntskater001leo-M,1,AMZ-PG-APP-TOO-LARGE
204092-RainbowCardigan-L,1,CR-UNAUTHORIZED_PURCHASE
caddyshackhat002,1,CR-UNWANTED_ITEM
bigl012-XXL,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL
dodgeball003-L,1,CR-UNWANTED_ITEM
dodgeball003-M,1,CR-UNWANTED_ITEM
simp001-S,1,CR-MISSED_ESTIMATED_DELIVERY
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
topgun014-XL,1,AMZ-PG-APP-TOO-SMALL
220797-CaddyJumpsuit-XL,1,CR-UNWANTED_ITEM
powerrangers018black-12/18,1,AMZ-PG-APP-TOO-LARGE
220793-MasterRoshiShirt-M,1,CR-UNWANTED_ITEM
hulkpantsN001-XL,1,AMZ-PG-APP-TOO-SMALL
hollywoodbandana,1,CR-UNWANTED_ITEM
sbb015-M,1,AMZ-PG-APP-TOO-SMALL
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
ledzeppelin002-XL,1,AMZ-PG-APP-TOO-SMALL
220835-NunMask,1,CR-UNWANTED_ITEM
powerrangerssweatshirtGreen-M,1,CR-DEFECTIVE
220752-RockfordPeachesMENS-2XL,1,AMZ-PG-APP-TOO-LARGE
tmnt047tankdressRaph-L,1,AMZ-PG-APP-TOO-SMALL
btlc004-S,1,AMZ-PG-APP-TOO-SMALL
metallica003-XXL,1,CR-DEFECTIVE
snlbearsLONGsweater-S,1,AMZ-PG-APP-TOO-SMALL
bigl012-XL,1,AMZ-PG-APP-TOO-SMALL
Futurama003-M,1,CR-DEFECTIVE
220744-AhoySailorCostume-MENS-PLUS,1,AMZ-PG-APP-TOO-LARGE
plumtree001-L,1,AMZ-PG-APP-TOO-SMALL
220078-SharkChubSuitYellow-Adult,1,CR-UNWANTED_ITEM
100541-JungleCruiseHat,1,CR-DEFECTIVE
220744-AhoySailorCostume-MENS-STD,1,AMZ-PG-APP-TOO-LARGE
starskyhutch001-XL,1,AMZ-PG-APP-TOO-LARGE
woodycostumeshirt-L-XL,1,CR-MISSED_ESTIMATED_DELIVERY
topgun002-L,1,AMZ-PG-BAD-DESC
100578BLACK-L,1,AMZ-PG-APP-STYLE
fearloathingglasses,1,AMZ-PG-APP-STYLE
100576BLACK-S,1,AMZ-PG-APP-TOO-SMALL
100576BLACK-M,1,CR-UNWANTED_ITEM
100576BLACK-L,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
Fragg004-S,1,CR-MISSED_ESTIMATED_DELIVERY
vforvendetta001-S,1,AMZ-PG-APP-STYLE
bandanaglassesset-Purple,1,CR-UNWANTED_ITEM
woodycostumeshirt-3XL,2,CR-UNWANTED_ITEM
220785-DumbDumber-ORNG-2XL,1,CR-DEFECTIVE
220786-LT-DumbDumber-BLUE-S,1,CR-DEFECTIVE
220660gldxs,1,CR-UNWANTED_ITEM
hulk003-L,1,AMZ-PG-APP-TOO-LARGE
rockyrobe2,1,CR-MISSED_ESTIMATED_DELIVERY
ledzeppelin002-M,1,AMZ-PG-APP-TOO-LARGE
100578BLACK-XL,1,AMZ-PG-APP-TOO-LARGE
ricflare001-pink,1,CR-UNWANTED_ITEM
TSM20002TV-WoodyBelt-S,1,AMZ-PG-APP-TOO-SMALL
220757-AverageJoesWomensSet-2XL,1,CR-UNWANTED_ITEM
ferris010-M,1,AMZ-PG-APP-TOO-SMALL
dodgeball003-M,1,CR-UNWANTED_ITEM
dodgeball003-L,1,CR-UNWANTED_ITEM
100576BLACK-XL,1,AMZ-PG-APP-TOO-LARGE
220759-BLUE-DetectiveBLUEShirt1-XL,1,AMZ-PG-BAD-DESC
amywinehousewig,1,AMZ-PG-BAD-DESC
leagueoftheirownGIRLS-2T,1,AMZ-PG-APP-TOO-SMALL
ninjanogginmask-darkgreen,1,AMZ-PG-APP-TOO-LARGE
220823-PinkBunny-KIDS-10/12,1,CR-UNWANTED_ITEM
BigLCostume-Kids-7/8,1,AMZ-PG-BAD-DESC
wizardozsocks002,1,AMZ-PG-APP-TOO-LARGE
100576BLACK-L,1,AMZ-PG-APP-TOO-LARGE
albundy002-5X,1,AMZ-PG-APP-TOO-LARGE
amywinehousewig,1,CR-UNWANTED_ITEM
CustomSublimationCape-BlackWhite,1,DID_NOT_LIKE_COLOR
99MUL-SimpsonsBackpack,1,CR-ORDERED_WRONG_ITEM
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
QF009BBSTV-BlueyPajamas-6,1,CR-MISSED_ESTIMATED_DELIVERY
PowerRangers-Red-SLShirt-2XL,1,CR-UNWANTED_ITEM
flinttropicssocks,1,AMZ-PG-APP-TOO-SMALL
220783-FlintTropicShorts-S/M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY
bigbang006grey-L,1,DID_NOT_LIKE_FABRIC
ricflare001-black,1,CR-DEFECTIVE
pedro004-L,1,CR-DAMAGED_BY_CARRIER
leagueoftheirowncostume-L/XL,1,CR-DEFECTIVE
Office008-M,1,DID_NOT_LIKE_COLOR
Office008-S,1,DID_NOT_LIKE_COLOR
officedundie,1,CR-DAMAGED_BY_FC
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL
bvswwcostume-2X,1,AMZ-PG-BAD-DESC
bvswwcostume-XL,1,AMZ-PG-BAD-DESC
WR0232-LoungePants-S,1,AMZ-PG-APP-TOO-SMALL
powerrangers018pink-18/24,1,DID_NOT_LIKE_COLOR
220744-AhoySailorCostume-MENS-STD,1,AMZ-PG-APP-TOO-SMALL
XFiles001-L,1,AMZ-PG-APP-TOO-SMALL
mm003JRSyellow-L,1,AMZ-PG-APP-TOO-SMALL
220785-DumbDumber-ORNG-XL,1,CR-ORDERED_WRONG_ITEM
220744-AhoySailorCostume-MENS-PLUS,1,AMZ-PG-APP-TOO-SMALL
princessbloomwig,1,CR-UNWANTED_ITEM
princessbloomwig,1,CR-MISSED_ESTIMATED_DELIVERY
sbtbslaterjersey-XL,1,AMZ-PG-APP-TOO-SMALL
sbb015-S,1,AMZ-PG-APP-TOO-SMALL
204087-ChotchkiesCostumeSet-XL,1,AMZ-PG-APP-TOO-SMALL
acwig,1,CR-MISSED_ESTIMATED_DELIVERY
220660plsm,1,AMZ-PG-APP-TOO-LARGE
220681-CarryMeChubSuit-STD,1,CR-DEFECTIVE
powerrangerssweatshirtPink-XXXL,1,AMZ-PG-APP-TOO-LARGE
100541-JungleCruiseHat,1,AMZ-PG-BAD-DESC
220639-std,1,CR-QUALITY_UNACCEPTABLE
100576BROWN-M,1,CR-UNWANTED_ITEM
220631-plus1,1,CR-DEFECTIVE
220781-MeanGirlsSantaCostume-2XL,1,AMZ-PG-APP-TOO-SMALL
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-TOO-LARGE
metallica003-M,1,CR-UNWANTED_ITEM
boratthong,2,CR-MISSED_ESTIMATED_DELIVERY
scottpilgrimramonabag-Pink/Turquoise,1,CR-UNWANTED_ITEM
220845-CustomRobeKids-Blu,1,AMZ-PG-BAD-DESC
hulkhogancostumesetREDsunYELban-3X,1,AMZ-PG-APP-TOO-SMALL
220781-MeanGirlsSantaCostume-2XL,1,AMZ-PG-APP-TOO-LARGE
