SKU,Quantity,Reason
220762-RoddyPiperKiltBelt-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY
204089-ModernLife-XL,1,AMZ-PG-APP-TOO-SMALL
20282-XXL,1,AMZ-PG-APP-TOO-SMALL
starwars129-XXL,1,AMZ-PG-BAD-DESC
topgun025-L,1,AMZ-PG-APP-TOO-SMALL
machomanbandana-Pink,1,DID_NOT_LIKE_FABRIC
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM
flinttropicssocks,1,CR-UNWANTED_ITEM
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
boratthong,1,AMZ-PG-APP-TOO-LARGE
GunsnRoses-12162218-XL,1,AMZ-PG-APP-TOO-LARGE
aerosmith002-M,1,CR-MISSED_ESTIMATED_DELIVERY
chubsuitcostume002-rylblue,1,CR-UNWANTED_ITEM
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-BAD-DESC
stepbros010-XL,1,AMZ-PG-APP-TOO-LARGE
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
hulk003-L,1,CR-UNWANTED_ITEM
hulkpants001-XL,1,AMZ-PG-APP-TOO-LARGE
chubsuitcostume002-orange,1,CR-MISSING_PARTS
220832-BingoOnesie-7/8,1,CR-ORDERED_WRONG_ITEM
204088-HopperHawaiianShirt-S,1,CR-UNWANTED_ITEM
Office010-L,1,DID_NOT_LIKE_FABRIC
hulk001yl,1,AMZ-PG-APP-TOO-LARGE
Futurama003-M,1,AMZ-PG-BAD-DESC
220078-SharkChubSuitYellow-Adult,1,CR-MISSING_PARTS
Peanuts001-L,1,DID_NOT_LIKE_COLOR
albundy002-4X,1,AMZ-PG-APP-TOO-LARGE
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM
pedro004-S,1,CR-SWITCHEROO
BoxingRobe-Blue,1,AMZ-PG-APP-STYLE
metallica003-XXL,1,DID_NOT_LIKE_FABRIC
officedundie,1,CR-MISSING_PARTS
heavyweights001TANK-M,1,AMZ-PG-APP-STYLE
CowgirlShirt-204051-XXL,1,AMZ-PG-APP-TOO-SMALL
HJCO2021-HootersCostumeSet-XXL,1,AMZ-PG-APP-TOO-SMALL
rockyshorts-XL,1,AMZ-PG-APP-STYLE
frankie002-M,1,AMZ-PG-APP-TOO-SMALL
stepbros010-XXL,1,DID_NOT_LIKE_FABRIC
blowupguitar,1,CR-DEFECTIVE
aerosmith002-S,1,AMZ-PG-APP-TOO-SMALL
hotrodcostumeset-S,1,AMZ-PG-APP-TOO-LARGE
PowerRangers-Red-SLShirt-M,1,AMZ-PG-APP-TOO-LARGE
powerrangers018pink-18/24,1,AMZ-PG-APP-TOO-SMALL
powerrangersset001red-XXL,1,AMZ-PG-APP-TOO-SMALL
M&M-Blue-JUNIORS-Shirt-L,1,AMZ-PG-APP-TOO-SMALL
M&M-Blue-JUNIORS-Shirt-M,1,AMZ-PG-APP-TOO-SMALL
M&M-Green-JUNIORS-Shirt-M,1,AMZ-PG-APP-TOO-SMALL
M&M-Green-JUNIORS-Shirt-S,1,CR-SWITCHEROO
ElvisGlasses001-Gold,1,AMZ-PG-APP-STYLE
boratthong,1,AMZ-PG-APP-TOO-LARGE
feltmasks-Red,1,CR-QUALITY_UNACCEPTABLE
BrownDreadlocks-1230,1,CR-DEFECTIVE
220744-AhoySailorCostume-MENS-STD,1,AMZ-PG-APP-TOO-SMALL
stepbros010-XL,1,AMZ-PG-APP-TOO-LARGE
incredhulk013-4XL,1,AMZ-PG-APP-TOO-LARGE
220745-AhoySailorCostume-WOMENS-L/XL,1,CR-UNWANTED_ITEM
PowerRangers-Blue-SLShirt-L,1,AMZ-PG-APP-TOO-LARGE
flinttropicssocks,1,CR-UNWANTED_ITEM
SquidGameSuit-GREEN-218-M,1,CR-DEFECTIVE
DodgeballCobrasCostumeSet-3XL,1,CR-UNWANTED_ITEM
machomanbandana-Pink,1,DID_NOT_LIKE_FABRIC
bigl012-3X,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-SWITCHEROO
220745-AhoySailorCostume-WOMENS-S/M,1,CR-UNWANTED_ITEM
220696-WOMENS-MimeCostumeSet-M,1,CR-UNWANTED_ITEM
ElvisGlasses001-Silver,1,CR-QUALITY_UNACCEPTABLE
wrestlingboots-MBlu,1,CR-MISSED_ESTIMATED_DELIVERY
germanshirtRED-XXXL,1,AMZ-PG-APP-TOO-LARGE
chubsuitcostume001-Green,1,AMZ-PG-APP-TOO-SMALL
ninjacotumeBLACK-XS,1,AMZ-PG-BAD-DESC
QueenofMusic-Armband,1,CR-FOUND_BETTER_PRICE
disney008-M,1,CR-QUALITY_UNACCEPTABLE
ferris010-M,1,AMZ-PG-BAD-DESC
Futurama003-L,1,AMZ-PG-APP-TOO-SMALL
customshirtBlack-3XL,1,CR-QUALITY_UNACCEPTABLE
leagueoftheirowncostume-XXLdeluxe,1,CR-UNWANTED_ITEM
BoxingRobe-Black,1,DID_NOT_LIKE_FABRIC
DSTS26LGS-BuzzLightyearJuniotsTshirt-XS,1,AMZ-PG-APP-TOO-SMALL
InflatableGiraffe-Adult,1,DID_NOT_LIKE_COLOR
220080-SharkChubSuitPink-Adult,1,CR-UNWANTED_ITEM
hulk003redN-XL,1,AMZ-PG-BAD-DESC
rubiks002-XXL,1,CR-QUALITY_UNACCEPTABLE
startrekunionBLUE-M,1,AMZ-PG-APP-TOO-LARGE
220080-SharkChubSuitPink-Adult,1,CR-DEFECTIVE
220079-SharkChubSuitBlue-Adult,1,CR-DEFECTIVE
oktoberfestmaid001GREY-22,1,CR-UNWANTED_ITEM
204070-Detective&BlueShirt-XXL,1,CR-DAMAGED_BY_FC
220785-DumbDumber-ORNG-L,1,CR-ORDERED_WRONG_ITEM
ateam001-M,1,AMZ-PG-APP-TOO-LARGE
slothcostumeset001-L,1,CR-MISSED_ESTIMATED_DELIVERY
alanbabycarriercostumeDELUXE-XL,1,CR-UNWANTED_ITEM
204088-HopperHawaiianShirt-3XL,1,AMZ-PG-APP-TOO-SMALL
bigl012-XXL,1,AMZ-PG-APP-STYLE
220759-BLUE-DetectiveBLUEShirt1-XL,1,CR-UNWANTED_ITEM
btlc004-XL,1,CR-UNWANTED_ITEM
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-SMALL
powerrangers002-L,1,CR-SWITCHEROO
PowerRangers-White-SLShirt-L,1,AMZ-PG-APP-TOO-LARGE
tmntonesieORANGE-24M,1,CR-DEFECTIVE
bigl012-XL,1,AMZ-PG-APP-TOO-LARGE
breakingbad004navy-XL,1,CR-UNWANTED_ITEM
drwho057-L,1,AMZ-PG-APP-TOO-SMALL
waldocostumeDELUXE-BOYS-XS,1,AMZ-PG-BAD-DESC
fearloathingglasses,1,AMZ-PG-APP-STYLE
amywinehouseset1,1,CR-UNWANTED_ITEM
220078-SharkChubSuitYellow-Adult,1,CR-DEFECTIVE
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL
fearandloathingcostumeset-S,1,AMZ-PG-APP-TOO-LARGE
220752-RockfordPeachesMENS-S/M,1,AMZ-PG-APP-TOO-LARGE
hulk003redN-S,1,AMZ-PG-BAD-DESC
dodgeball003-L,1,CR-UNWANTED_ITEM
220079-SharkChubSuitBlue-Adult,1,CR-UNWANTED_ITEM
SquidGameSuit-GREEN-001-M,1,CR-UNWANTED_ITEM
starwars089-S,1,AMZ-PG-APP-TOO-SMALL
KG0004-FruitLoopsLoungePants-M,1,AMZ-PG-APP-TOO-SMALL
bigl012-XXL,1,AMZ-PG-APP-TOO-SMALL
bigl012-XL,1,AMZ-PG-APP-STYLE
MUMA05VMN-MaruchanNoodle-M,1,AMZ-PG-APP-TOO-LARGE
BoxingRobe-Black,1,AMZ-PG-APP-TOO-SMALL
nap027-M,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC
TSM20002TV-WoodyBelt-M,1,AMZ-PG-APP-TOO-SMALL
feltmasks-Red,1,CR-UNWANTED_ITEM
mypony055purplejrs-L,1,AMZ-PG-APP-TOO-SMALL
drwho057-L,1,AMZ-PG-APP-TOO-SMALL
20282-XXL,1,AMZ-PG-APP-TOO-LARGE
20282-L-XL,1,CR-UNWANTED_ITEM
flinttropicssocks,1,CR-UNWANTED_ITEM
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM
RickMortyPicklePants-RM0242-52-3XL,1,AMZ-PG-APP-TOO-LARGE
caddy010-L,1,AMZ-PG-APP-TOO-LARGE
220785-DumbDumber-ORNG-XL,1,CR-FOUND_BETTER_PRICE
sonsofanarchy037-S,1,AMZ-PG-APP-TOO-LARGE
flocostume001,1,CR-UNWANTED_ITEM
20282-L-XL,1,AMZ-PG-BAD-DESC
hulk007N-12,1,CR-UNWANTED_ITEM
204088-HopperHawaiianShirt-M,1,AMZ-PG-APP-TOO-LARGE
204088-HopperHawaiianShirt-M,1,AMZ-PG-APP-TOO-SMALL
220627-youth1,1,CR-ORDERED_WRONG_ITEM
suicidesquad004-XL,1,AMZ-PG-BAD-DESC
WB1241-WB1249-HarleyQuinnCostumeSet-S,1,AMZ-PG-APP-TOO-SMALL
usaboardshorts003-XL,1,AMZ-PG-APP-TOO-LARGE
semiprocostumePLUS,1,CR-UNWANTED_ITEM
DSTS26LGS-BuzzLightyearJuniotsTshirt-S,1,CR-UNWANTED_ITEM
usarunningshorts-S-M,1,CR-DEFECTIVE
220697-MENS-MimeCostumeSet-S,1,CR-UNWANTED_ITEM
starwars095-L,1,DID_NOT_LIKE_FABRIC
bigl032-XXL,1,AMZ-PG-APP-TOO-LARGE
amywinehousewig,1,CR-DEFECTIVE
Custom-MousePad-Square,1,CR-ORDERED_WRONG_ITEM
Peanuts001-XL,1,CR-UNWANTED_ITEM
btlc004-L,1,AMZ-PG-APP-TOO-LARGE
topgun025-XL,1,AMZ-PG-APP-TOO-LARGE
220078-SharkChubSuitYellow-Adult,1,CR-UNWANTED_ITEM
ApolloShorts-S,1,CR-UNWANTED_ITEM
204088-HopperHawaiianShirt-M,1,AMZ-PG-APP-TOO-LARGE
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-SMALL
rockyrobe2,1,DID_NOT_LIKE_FABRIC
204088-HopperHawaiianShirt-XXL,1,AMZ-PG-APP-TOO-LARGE
hulk003-L,1,AMZ-PG-BAD-DESC
hulk003-L,1,AMZ-PG-BAD-DESC
bigldudecostume001-XL,1,AMZ-PG-APP-TOO-LARGE
trueblood009j-XL,1,AMZ-PG-APP-TOO-SMALL
220785-DumbDumber-ORNG-XL,1,CR-DEFECTIVE
220786-LT-DumbDumber-BLUE-M,1,CR-DEFECTIVE
220079-SharkChubSuitBlue-Adult,1,CR-MISSING_PARTS
220801-NasaSkiSuit-M,1,CR-ORDERED_WRONG_ITEM
LolaSleepSet-WB1787-69-S,1,AMZ-PG-APP-TOO-SMALL
alsunny001green-L,1,CR-MISSED_ESTIMATED_DELIVERY
A9249-MarvelDress-M,1,AMZ-PG-APP-TOO-LARGE
btlc004-L,1,AMZ-PG-APP-TOO-LARGE
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-TOO-LARGE
wonderbreadhat001,1,CR-MISSED_ESTIMATED_DELIVERY
snlbearsLONGsweater-XL,1,AMZ-PG-APP-TOO-SMALL
220786-LT-DumbDumber-BLUE-XL,1,CR-DEFECTIVE
rockyshorts-XL,1,DID_NOT_LIKE_FABRIC
blakebobblehead001,1,CR-DEFECTIVE
mash002-S,1,DID_NOT_LIKE_FABRIC
mash002-M,1,DID_NOT_LIKE_FABRIC
MightyDucksJersey-Reed-L,1,CR-UNWANTED_ITEM
jerseyshoreglasses,1,CR-QUALITY_UNACCEPTABLE
220757-AverageJoesWomensSet-L,1,CR-UNWANTED_ITEM
usarunningshorts-XXL,1,CR-UNWANTED_ITEM
mm003JRSred-M,1,CR-QUALITY_UNACCEPTABLE
TweetySleepSet-WB1785-69-S,1,AMZ-PG-APP-STYLE
rubiks002-L,1,DID_NOT_LIKE_FABRIC
batmancoin1,1,AMZ-PG-BAD-DESC
PowerRangers-Blue-SLShirt-M,1,DID_NOT_LIKE_COLOR
