SKU,Quantity,Reason
BlackPanterSweaterUCS-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
220814-PowerRangerPJ-BLU-M,1,CR-ORDERED_WRONG_ITEM
220814-PowerRangerPJ-BLU-S,1,CR-ORDERED_WRONG_ITEM
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
204070-DetectiveGREENShirt-M,1,CR-UNWANTED_ITEM
starwars168-XL,1,AMZ-PG-APP-TOO-SMALL
drseuss011-S,1,DID_NOT_LIKE_COLOR
ABCStrangerThingsUglySweater001-L,1,AMZ-PG-APP-TOO-LARGE
TinselTreeSweater-M,1,DID_NOT_LIKE_FABRIC
napoleonaccesssory-M,1,CR-UNWANTED_ITEM
wayneGARTHwig,1,CR-UNWANTED_ITEM
sriracha001-XXL,1,DID_NOT_LIKE_FABRIC
100576BLACK-M,1,CR-MISSED_ESTIMATED_DELIVERY
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL
DontKnowMargoUCS-GreenRed-L,1,AMZ-PG-BAD-DESC
CarpetWetTodd-RedBlack-M,1,AMZ-PG-BAD-DESC
B0005-BudLIghtChristmasSweater-S,1,AMZ-PG-APP-TOO-SMALL
blackswancostume1-S,1,AMZ-PG-APP-TOO-LARGE
220898-EllenGirswold-XL,1,CR-UNWANTED_ITEM
tmntmasks-Blue,1,CR-MISSED_ESTIMATED_DELIVERY
DS197-UglySweater-XL,1,CR-SWITCHEROO
66634105-YellowStoneJacket-3XL,1,AMZ-PG-APP-TOO-SMALL
CVSM2356TV-JolliestSweater-2XL,1,AMZ-PG-APP-TOO-LARGE
woodycostumeshirt-L-XL,1,CR-UNWANTED_ITEM
DSSCCXYBNP-HoHoHoPants-109-XXL,1,CR-UNWANTED_ITEM
DSSCCXYBNP-HoHoHoPants-XL,2,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-XXL,1,AMZ-PG-APP-TOO-SMALL
fearloathingglasses,1,CR-DEFECTIVE
ILoveXmasUCS-M,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-M,1,AMZ-PG-APP-TOO-SMALL
CCXX23IMNP-CokeBearSnow-M,1,AMZ-PG-APP-STYLE
