SKU,Quantity,Reason
tmnteyemaskset,1,CR-DEFECTIVE
starwars088-M,1,AMZ-PG-APP-TOO-SMALL
tmnt047tankdressMike-S,1,AMZ-PG-APP-TOO-SMALL
suicidesquad004-2X,1,AMZ-PG-APP-TOO-LARGE
starwars129-XL,1,CR-SWITCHEROO
220895-MartyMcflyCostume-XXL,1,CR-ORDERED_WRONG_ITEM
hulkhogancostumesetYELsunYELban-3X,1,AMZ-PG-BAD-DESC
WB1658-WB1659-WonderWomanCostumeSet1-S,1,CR-DEFECTIVE
JediBoots-100582-M,1,AMZ-PG-APP-STYLE
tmnt045Raph-XXXL,1,AMZ-PG-APP-TOO-LARGE
220786-LT-DumbDumber-BLUE-2XL,1,CR-DEFECTIVE
SharkCoustumeYouth,1,CR-DEFECTIVE
4U9ML-ERNIE-CostumeShirt-2XL,1,AMZ-PG-APP-TOO-SMALL
4U9ML-ERNIE-CostumeShirt-2XL,1,AMZ-PG-APP-TOO-SMALL
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL
FYMSC20-ZeddemoreShirt-3XL,2,CR-UNWANTED_ITEM
220627-youth1,1,CR-DEFECTIVE
220639-std1,1,CR-DEFECTIVE
220639-std1,1,CR-DEFECTIVE
waldocostumeDELUXE-BOYS-M,1,CR-UNWANTED_ITEM
wrestlingboots-SY,1,CR-SWITCHEROO
acdc011-XXL,1,AMZ-PG-APP-STYLE
acdc011-3XL,1,AMZ-PG-APP-STYLE
100576BROWN-M,1,CR-DEFECTIVE
mm003JRSgreen-M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-Small/Medium,1,CR-SWITCHEROO
leagueoftheirowncostume-L/XL,1,CR-DAMAGED_BY_FC
insideoutjoywig,1,CR-UNWANTED_ITEM
usa002-XL,1,AMZ-PG-APP-TOO-LARGE
1145-EvilBrattWig,1,AMZ-PG-APP-TOO-SMALL
220814-PowerRangerPJ-PNK-L,1,CR-UNWANTED_ITEM
flashpajama001-M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
220785-DumbDumber-ORNG-M,1,CR-DEFECTIVE
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
IncredibleSuperheroWig-1240,1,AMZ-PG-APP-STYLE
flocostume001,1,CR-UNWANTED_ITEM
SharkCoustumeYouth,1,CR-UNWANTED_ITEM
RickMortyPajamaSet-JCITV-L,1,CR-SWITCHEROO
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
mm001Nred-M,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL
toystorywoodyvest-L-XL,1,AMZ-PG-APP-TOO-LARGE
powerrangers018blue-0/6,1,CR-UNWANTED_ITEM
220797-CaddyJumpsuit-XL,1,CR-UNWANTED_ITEM
beautybeast001-XXL,1,AMZ-PG-APP-STYLE
leagueoftheirowncostume-L/XLdeluxe,2,AMZ-PG-APP-TOO-SMALL
SoapLoofahCostume,1,CR-UNWANTED_ITEM
InflatableShark-Teen,1,CR-DEFECTIVE
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL
magnumPI003-XL,1,AMZ-PG-APP-TOO-LARGE
mannequin001black-male,1,CR-DEFECTIVE
leagueoftheirowncostume-L/XL,1,CR-ORDERED_WRONG_ITEM
220911-ShaunDeadCostume-L,1,CR-UNWANTED_ITEM
ferris002-L,1,CR-SWITCHEROO
220797-CaddyJumpsuit-M,1,CR-DEFECTIVE
220797-CaddyJumpsuit-XL,1,CR-DEFECTIVE
mm003JRSred-M,1,AMZ-PG-APP-TOO-LARGE
juno004-S,1,AMZ-PG-APP-TOO-LARGE
ChristmasOrnaments-HumpingReindeer-10078,1,CR-SWITCHEROO
SharkCoustumeYouth,1,CR-DEFECTIVE
SharkCoustumeYouth,1,AMZ-PG-BAD-DESC
SharkCoustumeYouth,1,CR-DEFECTIVE
leagueoftheirowncostume-2X/3X,1,CR-ORDERED_WRONG_ITEM
220898-EllenGirswold-L,1,CR-DEFECTIVE
220627-youth,1,CR-UNWANTED_ITEM
220077-HotDogChubSuit-Teen,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-SBlu,1,CR-DEFECTIVE
M&M-Red-ADULT-Shirt-2XL,1,AMZ-PG-BAD-DESC
suicidesquad003-L,1,AMZ-PG-APP-TOO-SMALL
220775-BigBoyOverall-RED-2XL,1,AMZ-PG-APP-TOO-LARGE
waldocostumeDELUXE-XL,1,AMZ-PG-BAD-DESC
QF009BBSTV-BlueyPajamas-3T,1,CR-DEFECTIVE
flocostume001,1,CR-UNWANTED_ITEM
wrestlingboots-Mred,1,CR-UNWANTED_ITEM
SheriffWoodyCostumeSet-L-XL,1,AMZ-PG-APP-TOO-SMALL
amywinehousewig,1,CR-UNWANTED_ITEM
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL
220752-RockfordPeachesMENS-L/XL,1,AMZ-PG-APP-TOO-SMALL
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM
furiespants-XL,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
napoleonaccesssory-L,1,AMZ-PG-APP-TOO-SMALL
ultimatewarriorbandSet,1,CR-MISSED_ESTIMATED_DELIVERY
flocostume001,1,CR-UNWANTED_ITEM
hulk007N-6,1,AMZ-PG-APP-TOO-LARGE
100606-SemiRimlessYellowGlasses,1,AMZ-PG-APP-TOO-LARGE
machomanbandana-Pink,1,AMZ-PG-APP-TOO-LARGE
powerrangers018red-12/18,1,AMZ-PG-APP-TOO-SMALL
220757-AverageJoesWomensSet-M,1,CR-UNWANTED_ITEM
1145-EvilBrattWig,1,CR-MISSED_ESTIMATED_DELIVERY
mannequin001black-male,1,CR-MISSED_ESTIMATED_DELIVERY
blowupguitar,1,CR-UNWANTED_ITEM
100576BLACK-M,1,AMZ-PG-APP-TOO-LARGE
hollywoodhogancostumeset-S,1,CR-UNWANTED_ITEM
JediBoots-100582-M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC
starwars164-XL,1,AMZ-PG-APP-TOO-SMALL
curiousgeorgecostumeset-XXL,1,AMZ-PG-BAD-DESC
incredhulk006-L,1,AMZ-PG-BAD-DESC
tmntapriloneilcostume-L/XL,1,CR-UNWANTED_ITEM
lego017-5-6,1,AMZ-PG-APP-TOO-LARGE
220660rlxl,1,CR-UNWANTED_ITEM
karatekidcobrakaidlxcostume-Deluxe,1,AMZ-PG-APP-STYLE
machomanbandana-Pink,1,AMZ-PG-APP-STYLE
BrownDreadlocks-1230,1,CR-FOUND_BETTER_PRICE
220077-HotDogChubSuit-Teen,1,AMZ-PG-APP-TOO-SMALL
suicidesquad003-S,1,AMZ-PG-APP-TOO-LARGE
SecretStuffWaterBottle,1,CR-QUALITY_UNACCEPTABLE
100576BROWN-L,1,AMZ-PG-APP-TOO-SMALL
DP85051Ariel-S,1,AMZ-PG-APP-TOO-SMALL
stepbros010-XL,1,CR-DEFECTIVE
alanbabycarriercostumeDELUXE-L,1,AMZ-PG-APP-STYLE
leagueoftheirowncostume-L/XLdeluxe,1,CR-SWITCHEROO
flocostume001,1,CR-UNWANTED_ITEM
feltmasks-Orange,1,AMZ-PG-BAD-DESC
bvswwcostume-XL,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XLdeluxe,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-XLY,1,CR-DEFECTIVE
hulkpantsN001-3XL,1,AMZ-PG-APP-STYLE
WB1622-HarleyChemiseDress-L,1,CR-DEFECTIVE
starwars129-M,1,AMZ-PG-BAD-DESC
EMSQ6009TV-HarleyQuinnGloveSET,1,AMZ-PG-APP-TOO-LARGE
blowupguitar,1,CR-UNWANTED_ITEM
220850-ChuckieCostume-2T,1,CR-DEFECTIVE
220922-NachoLibreCostume-M,1,CR-MISSED_ESTIMATED_DELIVERY
kennywig,1,AMZ-PG-APP-TOO-SMALL
WB1658-WB1659-WonderWomanCostumeSet1-S,1,AMZ-PG-BAD-DESC
suicidesquad003-L,1,AMZ-PG-APP-TOO-LARGE
wrestlingboots-SB,1,CR-MISSED_ESTIMATED_DELIVERY
wrestlingboots-MB,1,CR-UNWANTED_ITEM
mannequin001nude-female,1,CR-DAMAGED_BY_FC
FWMSC20-StantzShirt-M,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-L,1,AMZ-PG-APP-TOO-LARGE
220797-CaddyJumpsuit-XL,1,CR-ORDERED_WRONG_ITEM
mannequin001black-male,1,CR-UNWANTED_ITEM
QF009BBSTV-BlueyPajamas-4,1,CR-UNWANTED_ITEM
QF009BBSTV-BlueyPajamas-6,1,CR-FOUND_BETTER_PRICE
tmnt056Raph-XXXL,1,AMZ-PG-APP-TOO-SMALL
KRSM2011-KrampusSweater-4XL,1,CR-UNWANTED_ITEM
wrestlingboots-MY,1,AMZ-PG-APP-TOO-LARGE
drseusstankdressTHING1-M,1,AMZ-PG-APP-TOO-SMALL
HS0217-TwisterLoungePants-M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-L/XLdeluxe,1,AMZ-PG-APP-TOO-SMALL
220783-FlintTropicShorts-2XL,1,AMZ-PG-APP-TOO-LARGE
mm003JRSgreen-L,1,CR-SWITCHEROO
100576BLACK-XL,1,AMZ-PG-APP-TOO-LARGE
tmnteyemaskset,1,CR-DEFECTIVE
RacineBellsCostumeDressWomens-XXL,1,CR-SWITCHEROO
suicidesquad004-XS,1,AMZ-PG-APP-TOO-SMALL
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM
leagueoftheirownGIRLS-7/8,1,AMZ-PG-APP-TOO-LARGE
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
220077-HotDogChubSuit-Adult,1,CR-ORDERED_WRONG_ITEM
flocostume001,1,AMZ-PG-APP-TOO-SMALL
M&M-Green-JUNIORS-Shirt-S,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM
QF009BBSTV-BlueyPajamas-6,1,AMZ-PG-BAD-DESC
bvswwcostume-XL,1,CR-UNWANTED_ITEM
103013-TmntEyeMask-Purple,1,CR-SWITCHEROO
oktoberfestmaid001BLUE-8,1,AMZ-PG-BAD-DESC
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL
oktoberfestmaid001BLUE-10,1,AMZ-PG-BAD-DESC
woodycostumeshirt-L-XL,1,AMZ-PG-APP-TOO-SMALL
mermaidfin001BLACK-S/M,1,DID_NOT_LIKE_COLOR
QueenofMusic-Armband,1,CR-UNWANTED_ITEM
dodgeball003N-XS,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XLdeluxe,1,AMZ-PG-APP-TOO-LARGE
SharkCoustumeYouth,1,CR-UNWANTED_ITEM
220745-AhoySailorCostume-WOMENS-S/M,1,CR-DEFECTIVE
leagueoftheirowncostume-L/XLdeluxe,1,AMZ-PG-APP-TOO-SMALL
mm001Nred-M,1,AMZ-PG-APP-TOO-LARGE
CowgirlShirt-204051-XL,1,CR-DEFECTIVE
SharkCoustumeYouth,1,CR-UNWANTED_ITEM
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL
220892-MabelPinesSweater-XXL,1,AMZ-PG-APP-TOO-SMALL
220892-MabelPinesSweater-XXL,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-SY,1,CR-DAMAGED_BY_FC
powerrangerssweatshirtPink-M,1,CR-UNWANTED_ITEM
powerrangerssweatshirtBlack-XL,1,CR-UNWANTED_ITEM
powerrangers018blue-6/12,1,CR-UNWANTED_ITEM
acwig,1,CR-UNWANTED_ITEM
LolaSleepSet-WB1787-69-XL,1,CR-UNWANTED_ITEM
waldocostumeDELUXE-BOYS-M,1,CR-UNWANTED_ITEM
leagueoftheirowncostume-L/XLdeluxe,1,CR-SWITCHEROO
6293-SSJoker6TattooSheets,1,CR-MISSED_ESTIMATED_DELIVERY
220797-CaddyJumpsuit-XL,1,CR-ORDERED_WRONG_ITEM
220873-BlueCluesDress-L,1,CR-MISSED_ESTIMATED_DELIVERY
100584-SheriffBoots-8/9,1,CR-SWITCHEROO
KillingJokeWig-1204,1,AMZ-PG-APP-STYLE
powerrangersleggings001BLACK-XL,1,DID_NOT_LIKE_FABRIC
220751-SethSuperbad-3XL,1,CR-DEFECTIVE
mm003JRSred-XL,1,AMZ-PG-APP-TOO-SMALL
220759-BLUE-DetectiveBLUEShirt1-2XL,2,CR-UNAUTHORIZED_PURCHASE
amywinehousewig,1,CR-DEFECTIVE
6695057-yellowstoneBeltBuckle,1,AMZ-PG-APP-TOO-SMALL
